DPF3_MOUSE	DPF3_MOUSE
A2BG91_MOUSE	Q3TQG9_MOUSE
A2BG91_MOUSE	A0A0U1RQ84_MOUSE
A2BG91_MOUSE	F8VPX4_MOUSE
A2BG91_MOUSE	J3QPC5_MOUSE
A2BG91_MOUSE	G3X9H3_MOUSE
A2BG91_MOUSE	E9QAF5_MOUSE
A2BG91_MOUSE	Q3U4L8_MOUSE
A2BG91_MOUSE	E9PUT0_MOUSE
A2BG91_MOUSE	ZFP54_MOUSE
A2BG91_MOUSE	A0A087WSP8_MOUSE
A2BG91_MOUSE	A0A087WS64_MOUSE
A2BG91_MOUSE	A0A087WR25_MOUSE
A2BG91_MOUSE	A0A087WNP1_MOUSE
A2BG91_MOUSE	Q9Z117_MOUSE
A2BG91_MOUSE	ZN809_MOUSE
A2BG91_MOUSE	D3YUF8_MOUSE
A2BG91_MOUSE	A0A1B0GSJ8_MOUSE
KLF11_MOUSE	KLF11_MOUSE
KLF11_MOUSE	KLF10_MOUSE
PRD12_MOUSE	PRD12_MOUSE
SP5_MOUSE	SP5_MOUSE
D3Z1Y7_MOUSE	D3Z1Y7_MOUSE
E9PVC2_MOUSE	E9PVC2_MOUSE
Q8BFX2_MOUSE	Q8BFX2_MOUSE
A2ADM8_MOUSE	A2ADM8_MOUSE
A2ALW2_MOUSE	A2ALW2_MOUSE
ZN335_MOUSE	ZN335_MOUSE
DZIP1_MOUSE	DZIP1_MOUSE
KLF12_MOUSE	KLF12_MOUSE
KLF12_MOUSE	KLF8_MOUSE
PRD13_MOUSE	PRD13_MOUSE
Q6PDK0_MOUSE	Q6PDK0_MOUSE
A0A140LIZ8_MOUSE	A0A140LIZ8_MOUSE
A0A0U1RNT5_MOUSE	A0A0U1RNT5_MOUSE
ZN775_MOUSE	ZN775_MOUSE
PRD14_MOUSE	PRD14_MOUSE
SP7_MOUSE	SP7_MOUSE
SP7_MOUSE	SP6_MOUSE
ZBTB4_MOUSE	ZBTB4_MOUSE
ZFP13_MOUSE	ZFP13_MOUSE
ZN292_MOUSE	ZN292_MOUSE
D3Z6B8_MOUSE	D3Z6B8_MOUSE
D6RFR2_MOUSE	D6RFR2_MOUSE
ZN784_MOUSE	ZN784_MOUSE
E4F1_MOUSE	E4F1_MOUSE
KLF14_MOUSE	KLF14_MOUSE
KLF14_MOUSE	KLF16_MOUSE
KLF14_MOUSE	KLF13_MOUSE
KLF14_MOUSE	Q8CEC4_MOUSE
PRD15_MOUSE	PRD15_MOUSE
SP8_MOUSE	SP8_MOUSE
SP8_MOUSE	SP9_MOUSE
A0A1W2P800_MOUSE	A0A1W2P800_MOUSE
ZFP3_MOUSE	ZFP3_MOUSE
E9Q6F9_MOUSE	E9Q6F9_MOUSE
Q4QQP3_MOUSE	Q4QQP3_MOUSE
Q4QQP3_MOUSE	B8JJX8_MOUSE
Q4QQP3_MOUSE	B9EIT6_MOUSE
Q4QQP3_MOUSE	A0A286YD11_MOUSE
Q4QQP3_MOUSE	A0A087WPV0_MOUSE
Q4QQP3_MOUSE	F6UQD0_MOUSE
Q4QQP3_MOUSE	Q80ZX2_MOUSE
Q4QQP3_MOUSE	ZFP90_MOUSE
Q4QQP3_MOUSE	A0A338P6G3_MOUSE
Q4QQP3_MOUSE	ZN728_MOUSE
Q4QQP3_MOUSE	A0A286YDZ7_MOUSE
Q4QQP3_MOUSE	A0A0J9YSF5_MOUSE
Q4QQP3_MOUSE	Q3UPV7_MOUSE
Q4QQP3_MOUSE	ZN568_MOUSE
Q4QQP3_MOUSE	ZN184_MOUSE
Q4QQP3_MOUSE	F6R4Z5_MOUSE
Q4QQP3_MOUSE	Z354C_MOUSE
Q4QQP3_MOUSE	OZF_MOUSE
Q4QQP3_MOUSE	ZN426_MOUSE
Q4QQP3_MOUSE	ZN551_MOUSE
Q4QQP3_MOUSE	ZNF2_MOUSE
Q4QQP3_MOUSE	E9Q3R6_MOUSE
Q4QQP3_MOUSE	A2AE21_MOUSE
Q4QQP3_MOUSE	ZN879_MOUSE
F7A6M1_MOUSE	F7A6M1_MOUSE
ZKSC5_MOUSE	ZKSC5_MOUSE
ZKSC5_MOUSE	A0A0G2JDH2_MOUSE
ZN574_MOUSE	ZN574_MOUSE
ZN786_MOUSE	ZN786_MOUSE
EGR1_MOUSE	EGR1_MOUSE
EGR1_MOUSE	EGR2_MOUSE
EGR1_MOUSE	EGR3_MOUSE
KLF15_MOUSE	KLF15_MOUSE
PRD16_MOUSE	PRD16_MOUSE
PRD16_MOUSE	MECOM_MOUSE
ZBT41_MOUSE	ZBT41_MOUSE
Q8CB76_MOUSE	Q8CB76_MOUSE
A0A1L1SU99_MOUSE	A0A1L1SU99_MOUSE
ZN366_MOUSE	ZN366_MOUSE
ZN575_MOUSE	ZN575_MOUSE
ZN787_MOUSE	ZN787_MOUSE
A2A7B5_MOUSE	A2A7B5_MOUSE
TSH1_MOUSE	TSH1_MOUSE
TSH1_MOUSE	A0A0R4J017_MOUSE
TSH1_MOUSE	TSH2_MOUSE
Q5NCH5_MOUSE	Q5NCH5_MOUSE
B1ARH2_MOUSE	B1ARH2_MOUSE
B1ARH2_MOUSE	J3QNY8_MOUSE
A0A1D5RM95_MOUSE	A0A1D5RM95_MOUSE
ZN367_MOUSE	ZN367_MOUSE
ZN579_MOUSE	ZN579_MOUSE
ZNF8_MOUSE	ZNF8_MOUSE
A0A286YE17_MOUSE	A0A286YE17_MOUSE
KLF17_MOUSE	KLF17_MOUSE
PRDM4_MOUSE	PRDM4_MOUSE
ZBT43_MOUSE	ZBT43_MOUSE
G3XA34_MOUSE	G3XA34_MOUSE
G3XA34_MOUSE	A2A4U4_MOUSE
G3X9T2_MOUSE	G3X9T2_MOUSE
G3X9T2_MOUSE	Q3UTQ6_MOUSE
G3X9T2_MOUSE	F7BTU1_MOUSE
G3X9T2_MOUSE	O88222_MOUSE
G3X9T2_MOUSE	Q9JIC0_MOUSE
G3X9T2_MOUSE	A0A286YE35_MOUSE
G3X9T2_MOUSE	A0A1B0GR71_MOUSE
G3X9T2_MOUSE	A2AU83_MOUSE
G3X9T2_MOUSE	E9QAG4_MOUSE
G3X9T2_MOUSE	A0A087WQ98_MOUSE
G3X9T2_MOUSE	E9QPD3_MOUSE
G3X9T2_MOUSE	A0A0J9YUW3_MOUSE
G3X9T2_MOUSE	A0A087WPN2_MOUSE
G3X9T2_MOUSE	A0A1Y7VJM8_MOUSE
G3X9T2_MOUSE	L7N267_MOUSE
G3X9T2_MOUSE	E9PZP6_MOUSE
G3X9T2_MOUSE	F7CWA7_MOUSE
G3X9T2_MOUSE	A2AW64_MOUSE
G3X9T2_MOUSE	A0A087WQD2_MOUSE
G3X9T2_MOUSE	Q3V2G0_MOUSE
G3X9T2_MOUSE	A0A0U1RNH4_MOUSE
G3X9T2_MOUSE	Q8BIC7_MOUSE
G3X9T2_MOUSE	Q80XR7_MOUSE
G3X9T2_MOUSE	L7N232_MOUSE
G3X9T2_MOUSE	ZN569_MOUSE
G3X9T2_MOUSE	ZFP2_MOUSE
G3X9T2_MOUSE	Q3UFF8_MOUSE
G3X9T2_MOUSE	Q8BKP2_MOUSE
G3X9T2_MOUSE	ZN583_MOUSE
G3X9T2_MOUSE	Q9D654_MOUSE
G3X9T2_MOUSE	E9PWP1_MOUSE
G3X9T2_MOUSE	Q8VCI1_MOUSE
G3X9T2_MOUSE	ZN382_MOUSE
G3X9T2_MOUSE	Q8BIS1_MOUSE
G3X9T2_MOUSE	ZN436_MOUSE
G3X9T2_MOUSE	Q497V9_MOUSE
G3X9T2_MOUSE	B2RR88_MOUSE
G3X9T2_MOUSE	D3Z0X4_MOUSE
G3X9T2_MOUSE	A0A0J9YUA4_MOUSE
G3X9T2_MOUSE	D3Z2V3_MOUSE
G3X9T2_MOUSE	A0A1L1SRW1_MOUSE
G3X9T2_MOUSE	D3YVB5_MOUSE
G3X9T2_MOUSE	E9Q2M4_MOUSE
G3X9T2_MOUSE	E9PUR3_MOUSE
G3X9T2_MOUSE	E9Q810_MOUSE
G5E8E4_MOUSE	G5E8E4_MOUSE
ZN580_MOUSE	ZN580_MOUSE
ZN800_MOUSE	ZN800_MOUSE
A0A1W2P7M3_MOUSE	A0A1W2P7M3_MOUSE
A0A1W2P7M3_MOUSE	E0CY31_MOUSE
EGR4_MOUSE	EGR4_MOUSE
A2ARW7_MOUSE	A2ARW7_MOUSE
A2ARW7_MOUSE	A0A1Y7VP04_MOUSE
A2ARW7_MOUSE	A0A1Y7VJ92_MOUSE
A2ARW7_MOUSE	A0A1B0GSL8_MOUSE
A2ARW7_MOUSE	D3Z288_MOUSE
A2ARW7_MOUSE	A0A3Q4EG67_MOUSE
PRDM5_MOUSE	PRDM5_MOUSE
ZBT44_MOUSE	ZBT44_MOUSE
Q8BLF0_MOUSE	Q8BLF0_MOUSE
ZFP62_MOUSE	ZFP62_MOUSE
ZFP62_MOUSE	Q8BJ45_MOUSE
ZFP62_MOUSE	E9PWT2_MOUSE
ZFP62_MOUSE	E9PXJ4_MOUSE
ZFP62_MOUSE	Q0VFY0_MOUSE
ZFP62_MOUSE	Q6PEP4_MOUSE
ZFP62_MOUSE	ZN260_MOUSE
ZFP62_MOUSE	ZFP27_MOUSE
ZFP62_MOUSE	Q8BG98_MOUSE
ZFP62_MOUSE	ZN771_MOUSE
A0A0U1RP29_MOUSE	A0A0U1RP29_MOUSE
A0A0U1RP29_MOUSE	E9PX22_MOUSE
ZN112_MOUSE	ZN112_MOUSE
ZN112_MOUSE	ZN239_MOUSE
ZN394_MOUSE	ZN394_MOUSE
ZN821_MOUSE	ZN821_MOUSE
FBX41_MOUSE	FBX41_MOUSE
KLF3_MOUSE	KLF3_MOUSE
PRDM6_MOUSE	PRDM6_MOUSE
Q5SXC3_MOUSE	Q5SXC3_MOUSE
ZBT45_MOUSE	ZBT45_MOUSE
B9EJW5_MOUSE	B9EJW5_MOUSE
A0A1B0GSA6_MOUSE	A0A1B0GSA6_MOUSE
Q7TPL6_MOUSE	Q7TPL6_MOUSE
Q7TPL6_MOUSE	A0A286YD24_MOUSE
Q7TPL6_MOUSE	A0A286YCH9_MOUSE
Q7TPL6_MOUSE	A0A286YDM7_MOUSE
Q7TPL6_MOUSE	M0QW75_MOUSE
Q7TPL6_MOUSE	J3KMU4_MOUSE
Q7TPL6_MOUSE	A0A286YCV7_MOUSE
Q7TPL6_MOUSE	A2AQA1_MOUSE
Q7TPL6_MOUSE	ZFP58_MOUSE
Q7TPL6_MOUSE	Q7M6X9_MOUSE
Q7TPL6_MOUSE	A0A1Y7VP64_MOUSE
Q7TPL6_MOUSE	A0A286YDG9_MOUSE
Q7TPL6_MOUSE	A0A286YD18_MOUSE
Q7TPL6_MOUSE	A0A0G2JEM5_MOUSE
Q7TPL6_MOUSE	ZFP11_MOUSE
Q7TPL6_MOUSE	Q1WWJ5_MOUSE
ZN410_MOUSE	ZN410_MOUSE
ZN592_MOUSE	ZN592_MOUSE
ZN827_MOUSE	ZN827_MOUSE
A0A087WNL1_MOUSE	A0A087WNL1_MOUSE
FEZF1_MOUSE	FEZF1_MOUSE
FEZF1_MOUSE	FEZF2_MOUSE
KLF4_MOUSE	KLF4_MOUSE
B2RU90_MOUSE	B2RU90_MOUSE
A0A1L1SU00_MOUSE	A0A1L1SU00_MOUSE
ZBT46_MOUSE	ZBT46_MOUSE
A0A0N4SVM4_MOUSE	A0A0N4SVM4_MOUSE
A0A3Q4EC37_MOUSE	A0A3Q4EC37_MOUSE
A0A3Q4EC37_MOUSE	G3UXY5_MOUSE
A0A571BDH3_MOUSE	A0A571BDH3_MOUSE
A0A3Q4EGT8_MOUSE	A0A3Q4EGT8_MOUSE
ZN131_MOUSE	ZN131_MOUSE
ZN414_MOUSE	ZN414_MOUSE
ZN618_MOUSE	ZN618_MOUSE
ZN865_MOUSE	ZN865_MOUSE
KLF5_MOUSE	KLF5_MOUSE
PRDM9_MOUSE	PRDM9_MOUSE
TYY1_MOUSE	TYY1_MOUSE
TYY1_MOUSE	TYY2_MOUSE
TZAP_MOUSE	TZAP_MOUSE
A2AVM0_MOUSE	A2AVM0_MOUSE
ZFP64_MOUSE	ZFP64_MOUSE
ZN142_MOUSE	ZN142_MOUSE
ZN628_MOUSE	ZN628_MOUSE
ZN628_MOUSE	A2A7P4_MOUSE
FIZ1_MOUSE	FIZ1_MOUSE
A0A1Y7VLA9_MOUSE	A0A1Y7VLA9_MOUSE
ZBT49_MOUSE	ZBT49_MOUSE
D3YY78_MOUSE	D3YY78_MOUSE
Q7TNU5_MOUSE	Q7TNU5_MOUSE
Q7TNU5_MOUSE	Q3UQL6_MOUSE
Q7TNU5_MOUSE	Q5NC62_MOUSE
Q7TNU5_MOUSE	D3Z6N7_MOUSE
ZN143_MOUSE	ZN143_MOUSE
ZN143_MOUSE	ZNF76_MOUSE
ZN629_MOUSE	ZN629_MOUSE
ZN629_MOUSE	Q3V362_MOUSE
ZN629_MOUSE	ZNF48_MOUSE
ZSC10_MOUSE	ZSC10_MOUSE
A0A0R4J292_MOUSE	A0A0R4J292_MOUSE
A0A0R4J292_MOUSE	GFI1B_MOUSE
E9PZ63_MOUSE	E9PZ63_MOUSE
KLF7_MOUSE	KLF7_MOUSE
REPI1_MOUSE	REPI1_MOUSE
MBTP2_MOUSE	MBTP2_MOUSE
ZBTB5_MOUSE	ZBTB5_MOUSE
A2AML7_MOUSE	A2AML7_MOUSE
B7ZCR5_MOUSE	B7ZCR5_MOUSE
ZN646_MOUSE	ZN646_MOUSE
ZN639_MOUSE	ZN639_MOUSE
REST_MOUSE	REST_MOUSE
ZBTB1_MOUSE	ZBTB1_MOUSE
A0A140LJC3_MOUSE	A0A140LJC3_MOUSE
J3QNM2_MOUSE	J3QNM2_MOUSE
D3Z0W3_MOUSE	D3Z0W3_MOUSE
ZN148_MOUSE	ZN148_MOUSE
ZN641_MOUSE	ZN641_MOUSE
GLI1_MOUSE	GLI1_MOUSE
TF3A_MOUSE	TF3A_MOUSE
E9Q8X5_MOUSE	E9Q8X5_MOUSE
ZBT7A_MOUSE	ZBT7A_MOUSE
ZNF18_MOUSE	ZNF18_MOUSE
ZN445_MOUSE	ZN445_MOUSE
ZN445_MOUSE	A7DTG8_MOUSE
ZN652_MOUSE	ZN652_MOUSE
ZSC21_MOUSE	ZSC21_MOUSE
ZSC21_MOUSE	ZNF24_MOUSE
ZSC21_MOUSE	ZSC26_MOUSE
ZSC21_MOUSE	A0A0R4J1L3_MOUSE
ZSC21_MOUSE	A0A286YD55_MOUSE
ZSC21_MOUSE	A0A140LI69_MOUSE
GZF1_MOUSE	GZF1_MOUSE
A0A0U1RNL1_MOUSE	A0A0U1RNL1_MOUSE
A0A0U1RNL1_MOUSE	Q5NBY8_MOUSE
A2A7F4_MOUSE	A2A7F4_MOUSE
ZBT11_MOUSE	ZBT11_MOUSE
G3X8R7_MOUSE	G3X8R7_MOUSE
A0A1L1STM6_MOUSE	A0A1L1STM6_MOUSE
A0A1B0GRS1_MOUSE	A0A1B0GRS1_MOUSE
ZN467_MOUSE	ZN467_MOUSE
ZN653_MOUSE	ZN653_MOUSE
Q3TQC3_MOUSE	Q3TQC3_MOUSE
GLI3_MOUSE	GLI3_MOUSE
GLI3_MOUSE	GLI2_MOUSE
Z4YJP0_MOUSE	Z4YJP0_MOUSE
Z4YJP0_MOUSE	HIC2_MOUSE
RREB1_MOUSE	RREB1_MOUSE
ZBT7C_MOUSE	ZBT7C_MOUSE
ZBT7C_MOUSE	ZBT7B_MOUSE
E9QAW0_MOUSE	E9QAW0_MOUSE
ZFP37_MOUSE	ZFP37_MOUSE
A0A0G2JE56_MOUSE	A0A0G2JE56_MOUSE
B9EKF4_MOUSE	B9EKF4_MOUSE
B9EKF4_MOUSE	D6RE39_MOUSE
ZN219_MOUSE	ZN219_MOUSE
ZN473_MOUSE	ZN473_MOUSE
ZN654_MOUSE	ZN654_MOUSE
GLIS1_MOUSE	GLIS1_MOUSE
MTF1_MOUSE	MTF1_MOUSE
A0A286YDU4_MOUSE	A0A286YDU4_MOUSE
ZBT14_MOUSE	ZBT14_MOUSE
ZBT8A_MOUSE	ZBT8A_MOUSE
Q3U0X6_MOUSE	Q3U0X6_MOUSE
Q5PPQ4_MOUSE	Q5PPQ4_MOUSE
Q5PPQ4_MOUSE	A0A0J9YVH3_MOUSE
Q5PPQ4_MOUSE	D3YV82_MOUSE
Q5PPQ4_MOUSE	D3Z4F2_MOUSE
ZNF22_MOUSE	ZNF22_MOUSE
ZN474_MOUSE	ZN474_MOUSE
ZN474_MOUSE	Q9D2T6_MOUSE
ZN667_MOUSE	ZN667_MOUSE
ZN667_MOUSE	A0A140LHZ4_MOUSE
GLIS2_MOUSE	GLIS2_MOUSE
HINFP_MOUSE	HINFP_MOUSE
MYNN_MOUSE	MYNN_MOUSE
Q7M6X5_MOUSE	Q7M6X5_MOUSE
Q7M6X5_MOUSE	A0A087WQQ0_MOUSE
Q3UQ17_MOUSE	Q3UQ17_MOUSE
A0A0R4J0Q8_MOUSE	A0A0R4J0Q8_MOUSE
D3YX49_MOUSE	D3YX49_MOUSE
D3YX49_MOUSE	B1ASA5_MOUSE
A0A1D5RLI9_MOUSE	A0A1D5RLI9_MOUSE
ZN668_MOUSE	ZN668_MOUSE
GLIS3_MOUSE	GLIS3_MOUSE
A0A1Y7VJI1_MOUSE	A0A1Y7VJI1_MOUSE
A1L358_MOUSE	A1L358_MOUSE
Q6P5E3_MOUSE	Q6P5E3_MOUSE
Q6P5E3_MOUSE	SALL3_MOUSE
ZBT17_MOUSE	ZBT17_MOUSE
ZBTB9_MOUSE	ZBTB9_MOUSE
A0A1L1SUU9_MOUSE	A0A1L1SUU9_MOUSE
D3YVX8_MOUSE	D3YVX8_MOUSE
FOG1_MOUSE	FOG1_MOUSE
ZN488_MOUSE	ZN488_MOUSE
ZSC4C_MOUSE	ZSC4C_MOUSE
ZSC4C_MOUSE	ZSC4D_MOUSE
ZSC4C_MOUSE	ZSC4F_MOUSE
ZSC4C_MOUSE	E9Q3G0_MOUSE
AEBP2_MOUSE	AEBP2_MOUSE
ZEP2_MOUSE	ZEP2_MOUSE
SALL2_MOUSE	SALL2_MOUSE
ZBT18_MOUSE	ZBT18_MOUSE
ZBT18_MOUSE	ZBT42_MOUSE
ZFAT_MOUSE	ZFAT_MOUSE
B2RR24_MOUSE	B2RR24_MOUSE
ZFP39_MOUSE	ZFP39_MOUSE
ZFP39_MOUSE	A0A0G2JET9_MOUSE
ZFP39_MOUSE	D3YYT4_MOUSE
ZFP39_MOUSE	A0A1L1SUL0_MOUSE
ZFP91_MOUSE	ZFP91_MOUSE
FOG2_MOUSE	FOG2_MOUSE
ZN496_MOUSE	ZN496_MOUSE
ZN496_MOUSE	E9Q2D3_MOUSE
ZN683_MOUSE	ZN683_MOUSE
ZEP3_MOUSE	ZEP3_MOUSE
OSR2_MOUSE	OSR2_MOUSE
OSR2_MOUSE	OSR1_MOUSE
Q3V3W4_MOUSE	Q3V3W4_MOUSE
E0CZG2_MOUSE	E0CZG2_MOUSE
A0A286YCD9_MOUSE	A0A286YCD9_MOUSE
ZFP92_MOUSE	ZFP92_MOUSE
A0A571BD11_MOUSE	A0A571BD11_MOUSE
A0A571BD11_MOUSE	A2BE19_MOUSE
ZN503_MOUSE	ZN503_MOUSE
ZN503_MOUSE	ZN703_MOUSE
ZN687_MOUSE	ZN687_MOUSE
Q3US60_MOUSE	Q3US60_MOUSE
SALL4_MOUSE	SALL4_MOUSE
ZBT20_MOUSE	ZBT20_MOUSE
E9Q569_MOUSE	E9Q569_MOUSE
ZFP57_MOUSE	ZFP57_MOUSE
A2ART1_MOUSE	A2ART1_MOUSE
A2ART1_MOUSE	A2ART1_MOUSE
A2ART1_MOUSE	A2BE21_MOUSE
ZN507_MOUSE	ZN507_MOUSE
ZN689_MOUSE	ZN689_MOUSE
ZN689_MOUSE	E9QAP1_MOUSE
ZN689_MOUSE	D3Z3V4_MOUSE
ZN689_MOUSE	A0A0U1RNR1_MOUSE
B2RTN3_MOUSE	B2RTN3_MOUSE
OVOL2_MOUSE	OVOL2_MOUSE
OVOL2_MOUSE	OVOL1_MOUSE
OVOL2_MOUSE	OVOL3_MOUSE
SCRT1_MOUSE	SCRT1_MOUSE
SCRT1_MOUSE	SCRT2_MOUSE
A0A338P6M4_MOUSE	A0A338P6M4_MOUSE
D3Z140_MOUSE	D3Z140_MOUSE
E0CYR0_MOUSE	E0CYR0_MOUSE
B1B1D3_MOUSE	B1B1D3_MOUSE
B1B1D3_MOUSE	J3QM38_MOUSE
B1B1D3_MOUSE	E9PUS4_MOUSE
B1B1D3_MOUSE	B8JJA7_MOUSE
B1B1D3_MOUSE	Q8BIQ6_MOUSE
B1B1D3_MOUSE	E9Q6M3_MOUSE
B1B1D3_MOUSE	A0A3B2W7H5_MOUSE
B1B1D3_MOUSE	E9Q462_MOUSE
B1B1D3_MOUSE	F6VWU8_MOUSE
B1B1D3_MOUSE	A2A8Q4_MOUSE
B1B1D3_MOUSE	Q6DFU8_MOUSE
B1B1D3_MOUSE	F6WAU7_MOUSE
B1B1D3_MOUSE	A0A087WQI7_MOUSE
B1B1D3_MOUSE	A0A087WQW2_MOUSE
B1B1D3_MOUSE	A2AWF2_MOUSE
B1B1D3_MOUSE	A2A9J5_MOUSE
B1B1D3_MOUSE	A2A799_MOUSE
B1B1D3_MOUSE	A2A7U9_MOUSE
B1B1D3_MOUSE	H3BLB0_MOUSE
B1B1D3_MOUSE	A2A7A1_MOUSE
B1B1D3_MOUSE	F6VKC7_MOUSE
B1B1D3_MOUSE	B1ASD8_MOUSE
B1B1D3_MOUSE	A2A7A2_MOUSE
B1B1D3_MOUSE	L7MUC9_MOUSE
B1B1D3_MOUSE	A2A7A3_MOUSE
B1B1D3_MOUSE	A2A8V4_MOUSE
B1B1D3_MOUSE	O88253_MOUSE
B1B1D3_MOUSE	A2A8V6_MOUSE
B1B1D3_MOUSE	B2KG43_MOUSE
ZFP69_MOUSE	ZFP69_MOUSE
ZN511_MOUSE	ZN511_MOUSE
ZN692_MOUSE	ZN692_MOUSE
ZXDB_MOUSE	ZXDB_MOUSE
ZXDB_MOUSE	ZXDC_MOUSE
BC11B_MOUSE	BC11B_MOUSE
BC11B_MOUSE	BC11A_MOUSE
ZBT22_MOUSE	ZBT22_MOUSE
G3UVV3_MOUSE	G3UVV3_MOUSE
ZN276_MOUSE	ZN276_MOUSE
ZN513_MOUSE	ZN513_MOUSE
BCL6_MOUSE	BCL6_MOUSE
IKZF4_MOUSE	IKZF4_MOUSE
IKZF4_MOUSE	IKZF2_MOUSE
IKZF4_MOUSE	G5E8H3_MOUSE
IKZF4_MOUSE	IKZF3_MOUSE
ZBT24_MOUSE	ZBT24_MOUSE
Q8K439_MOUSE	Q8K439_MOUSE
Q8K439_MOUSE	E0CZ03_MOUSE
D6RCZ0_MOUSE	D6RCZ0_MOUSE
G5E8C0_MOUSE	G5E8C0_MOUSE
A0A3Q4EGF8_MOUSE	A0A3Q4EGF8_MOUSE
ZN281_MOUSE	ZN281_MOUSE
ZN516_MOUSE	ZN516_MOUSE
ZN710_MOUSE	ZN710_MOUSE
BCL6B_MOUSE	BCL6B_MOUSE
IKZF5_MOUSE	IKZF5_MOUSE
PEG3_MOUSE	PEG3_MOUSE
Q6P9Q3_MOUSE	Q6P9Q3_MOUSE
Q6P9Q3_MOUSE	ZBTB6_MOUSE
Q6P9Q3_MOUSE	G3UY12_MOUSE
A0A1L1SR49_MOUSE	A0A1L1SR49_MOUSE
ZFP41_MOUSE	ZFP41_MOUSE
E9Q6S0_MOUSE	E9Q6S0_MOUSE
A0A2R8VHC1_MOUSE	A0A2R8VHC1_MOUSE
A0A2R8VHC1_MOUSE	A0A0U1RNI1_MOUSE
A0A2R8VHC1_MOUSE	A0A0U1RQ30_MOUSE
ZN287_MOUSE	ZN287_MOUSE
ZN287_MOUSE	A0A087WRR7_MOUSE
ZN287_MOUSE	ZSCA2_MOUSE
ZN521_MOUSE	ZN521_MOUSE
ZN521_MOUSE	ZN423_MOUSE
INSM1_MOUSE	INSM1_MOUSE
