TF_ID	Gene_ID	Family
PK05509.1	PK05509.1	NF-YC
PK05671.1	PK05671.1	Dof
PK05686.1	PK05686.1	NAC
PK05866.1	PK05866.1	HSF
PK05866.2	PK05866.2	HSF
PK05923.1	PK05923.1	bHLH
PK05969.1	PK05969.1	ZF-HD
PK05989.1	PK05989.1	bZIP
PK05989.2	PK05989.2	bZIP
PK06148.1	PK06148.1	FAR1
PK06282.1	PK06282.1	FAR1
PK06287.1	PK06287.1	NAC
PK06287.2	PK06287.2	NAC
PK06301.1	PK06301.1	bHLH
PK06349.1	PK06349.1	CAMTA
PK06477.1	PK06477.1	NAC
PK06492.1	PK06492.1	bZIP
PK06517.1	PK06517.1	bHLH
PK06605.1	PK06605.1	Trihelix
PK06696.1	PK06696.1	bHLH
PK06766.1	PK06766.1	NAC
PK06791.1	PK06791.1	SBP
PK06841.1	PK06841.1	bHLH
PK06890.1	PK06890.1	WRKY
PK06916.1	PK06916.1	bHLH
PK06940.1	PK06940.1	bHLH
PK06964.1	PK06964.1	YABBY
PK06970.1	PK06970.1	bHLH
PK07026.1	PK07026.1	GRAS
PK07026.2	PK07026.2	GRAS
PK07031.1	PK07031.1	Dof
PK07042.1	PK07042.1	NAC
PK07078.1	PK07078.1	BES1
PK07115.1	PK07115.1	bZIP
PK07165.1	PK07165.1	FAR1
PK07315.1	PK07315.1	GATA
PK07315.2	PK07315.2	GATA
PK07387.1	PK07387.1	bZIP
PK07450.1	PK07450.1	HRT-like
PK07450.2	PK07450.2	HRT-like
PK07467.1	PK07467.1	GRAS
PK07482.1	PK07482.1	NF-YB
PK07494.1	PK07494.1	bZIP
PK07533.1	PK07533.1	bZIP
PK07593.1	PK07593.1	GATA
PK07646.1	PK07646.1	WRKY
PK07681.1	PK07681.1	NF-YB
PK07706.2	PK07706.2	WRKY
PK07805.1	PK07805.1	FAR1
PK07805.2	PK07805.2	FAR1
PK07850.1	PK07850.1	bHLH
PK07858.1	PK07858.1	bHLH
PK07950.1	PK07950.1	FAR1
PK07976.2	PK07976.2	NAC
PK08039.1	PK08039.1	FAR1
PK08180.1	PK08180.1	NAC
PK08191.1	PK08191.1	GRAS
PK08229.1	PK08229.1	GeBP
PK08266.1	PK08266.1	WRKY
PK08451.1	PK08451.1	WRKY
PK08477.1	PK08477.1	S1Fa-like
PK08522.1	PK08522.1	FAR1
PK08539.1	PK08539.1	bHLH
PK08582.1	PK08582.1	bZIP
PK08629.1	PK08629.1	NAC
PK08671.1	PK08671.1	GRAS
PK08705.1	PK08705.1	bHLH
PK08747.1	PK08747.1	bHLH
PK08776.1	PK08776.1	WRKY
PK08792.1	PK08792.1	bHLH
PK08841.1	PK08841.1	bZIP
PK08844.1	PK08844.1	bZIP
PK08903.1	PK08903.1	FAR1
PK09009.1	PK09009.1	bHLH
PK09009.2	PK09009.2	bHLH
PK09018.1	PK09018.1	GRAS
PK09021.1	PK09021.1	bZIP
PK09021.2	PK09021.2	bZIP
PK09122.1	PK09122.1	bHLH
PK09209.1	PK09209.1	WRKY
PK09224.1	PK09224.1	FAR1
PK09224.2	PK09224.2	FAR1
PK09321.1	PK09321.1	STAT
PK09321.2	PK09321.2	STAT
PK09358.1	PK09358.1	Dof
PK09358.2	PK09358.2	Dof
PK09429.1	PK09429.1	E2F/DP
PK09434.1	PK09434.1	E2F/DP
PK09461.1	PK09461.1	YABBY
PK09461.2	PK09461.2	YABBY
PK09653.1	PK09653.1	bZIP
PK09653.2	PK09653.2	bZIP
PK09668.1	PK09668.1	TCP
PK09702.1	PK09702.1	bHLH
PK09729.1	PK09729.1	bZIP
PK09738.1	PK09738.1	bZIP
PK09738.2	PK09738.2	bZIP
PK09783.1	PK09783.1	bZIP
PK09808.1	PK09808.1	LBD
PK09831.1	PK09831.1	HSF
PK09831.2	PK09831.2	HSF
PK09834.1	PK09834.1	NF-YC
PK09859.1	PK09859.1	GRAS
PK09859.2	PK09859.2	GRAS
PK09975.1	PK09975.1	WRKY
PK10116.1	PK10116.1	Trihelix
PK10122.2	PK10122.2	GATA
PK10122.3	PK10122.3	GATA
PK10122.4	PK10122.4	GATA
PK10122.5	PK10122.5	GATA
PK10122.6	PK10122.6	GATA
PK10271.1	PK10271.1	NAC
PK10271.2	PK10271.2	NAC
PK10344.1	PK10344.1	TCP
PK10359.1	PK10359.1	bZIP
PK10500.1	PK10500.1	Dof
PK10562.1	PK10562.1	bHLH
PK10562.2	PK10562.2	bHLH
PK10592.1	PK10592.1	ZF-HD
PK10616.1	PK10616.1	WRKY
PK10723.2	PK10723.2	GeBP
PK10734.1	PK10734.1	WRKY
PK10827.1	PK10827.1	Dof
PK10827.2	PK10827.2	Dof
PK10836.7	PK10836.7	WRKY
PK10877.1	PK10877.1	E2F/DP
PK10877.2	PK10877.2	E2F/DP
PK10917.1	PK10917.1	LFY
PK10922.2	PK10922.2	FAR1
PK10955.1	PK10955.1	Dof
PK10965.1	PK10965.1	E2F/DP
PK11000.1	PK11000.1	GATA
PK11022.1	PK11022.1	GRAS
PK11028.1	PK11028.1	WRKY
PK11095.1	PK11095.1	GATA
PK11147.1	PK11147.1	NF-YA
PK11173.1	PK11173.1	NAC
PK11227.1	PK11227.1	LBD
PK11261.4	PK11261.4	TCP
PK11281.2	PK11281.2	NAC
PK11281.3	PK11281.3	NAC
PK11281.7	PK11281.7	NAC
PK11310.1	PK11310.1	SBP
PK11310.3	PK11310.3	SBP
PK11467.1	PK11467.1	NAC
PK11472.1	PK11472.1	bZIP
PK11472.2	PK11472.2	bZIP
PK11483.1	PK11483.1	GRAS
PK11564.1	PK11564.1	LBD
PK11573.1	PK11573.1	bHLH
PK11630.1	PK11630.1	E2F/DP
PK11632.1	PK11632.1	NF-YC
PK11667.1	PK11667.1	bHLH
PK11776.1	PK11776.1	bZIP
PK11834.1	PK11834.1	GRAS
PK11838.1	PK11838.1	FAR1
PK11867.1	PK11867.1	WRKY
PK11867.2	PK11867.2	WRKY
PK11988.1	PK11988.1	HSF
PK11990.1	PK11990.1	NAC
PK12073.1	PK12073.1	bHLH
PK12075.1	PK12075.1	HSF
PK12098.1	PK12098.1	bHLH
PK12143.1	PK12143.1	CPP
PK12240.1	PK12240.1	TCP
PK12427.1	PK12427.1	BES1
PK12461.1	PK12461.1	NAC
PK12462.1	PK12462.1	Nin-like
PK12518.1	PK12518.1	bHLH
PK12518.2	PK12518.2	bHLH
PK12544.1	PK12544.1	HSF
PK12627.1	PK12627.1	bHLH
PK12634.1	PK12634.1	bHLH
PK12736.1	PK12736.1	TCP
PK12746.1	PK12746.1	FAR1
PK12811.1	PK12811.1	WRKY
PK12847.1	PK12847.1	TCP
PK12901.1	PK12901.1	NAC
PK12935.1	PK12935.1	WRKY
PK13108.1	PK13108.1	GRAS
PK13228.1	PK13228.1	LBD
PK13251.1	PK13251.1	NAC
PK13304.1	PK13304.1	bHLH
PK13314.1	PK13314.1	TCP
PK13351.1	PK13351.1	EIL
PK13380.1	PK13380.1	FAR1
PK13485.1	PK13485.1	Dof
PK13567.1	PK13567.1	TCP
PK13595.1	PK13595.1	GRAS
PK13609.1	PK13609.1	GATA
PK13647.1	PK13647.1	GATA
PK13754.1	PK13754.1	bZIP
PK13838.1	PK13838.1	YABBY
PK13860.1	PK13860.1	NAC
PK13921.1	PK13921.1	GRAS
PK13964.1	PK13964.1	NAC
PK14040.1	PK14040.1	bHLH
PK14065.1	PK14065.1	bZIP
PK14075.1	PK14075.1	WRKY
PK14080.1	PK14080.1	Dof
PK14093.1	PK14093.1	bHLH
PK14124.1	PK14124.1	NF-YC
PK14243.1	PK14243.1	SBP
PK14284.1	PK14284.1	bHLH
PK14354.1	PK14354.1	NF-YB
PK14534.1	PK14534.1	bZIP
PK14653.1	PK14653.1	TCP
PK14657.1	PK14657.1	bHLH
PK14700.1	PK14700.1	GRAS
PK14700.2	PK14700.2	HSF
PK14700.3	PK14700.3	HSF
PK14700.4	PK14700.4	HSF
PK14727.1	PK14727.1	Trihelix
PK14734.1	PK14734.1	bZIP
PK14736.1	PK14736.1	bHLH
PK14794.1	PK14794.1	Dof
PK14882.1	PK14882.1	GRAS
PK14882.2	PK14882.2	GRAS
PK14983.1	PK14983.1	WRKY
PK15019.1	PK15019.1	NF-YB
PK15082.1	PK15082.1	GRAS
PK15168.1	PK15168.1	bHLH
PK15172.1	PK15172.1	Trihelix
PK15309.1	PK15309.1	HSF
PK15337.1	PK15337.1	Dof
PK15358.1	PK15358.1	bHLH
PK15363.1	PK15363.1	NAC
PK15387.1	PK15387.1	GRAS
PK15395.1	PK15395.1	GRAS
PK15417.1	PK15417.1	Trihelix
PK15505.1	PK15505.1	bHLH
PK15505.2	PK15505.2	bHLH
PK15531.1	PK15531.1	bHLH
PK15579.1	PK15579.1	Dof
PK15637.1	PK15637.1	GRAS
PK15647.1	PK15647.1	LBD
PK15669.1	PK15669.1	FAR1
PK15688.1	PK15688.1	WRKY
PK16004.1	PK16004.1	EIL
PK16035.1	PK16035.1	WRKY
PK16035.2	PK16035.2	WRKY
PK16045.1	PK16045.1	WRKY
PK16223.1	PK16223.1	bZIP
PK16335.1	PK16335.1	bZIP
PK16340.1	PK16340.1	Dof
PK16358.1	PK16358.1	NF-YB
PK16522.1	PK16522.1	bZIP
PK16670.1	PK16670.1	bHLH
PK16683.1	PK16683.1	TCP
PK16724.1	PK16724.1	TCP
PK16897.10	PK16897.10	YABBY
PK16897.4	PK16897.4	WRKY
PK16897.5	PK16897.5	YABBY
PK16953.1	PK16953.1	SBP
PK17036.1	PK17036.1	NF-YB
PK17047.1	PK17047.1	bZIP
PK17078.1	PK17078.1	GRAS
PK17141.1	PK17141.1	NAC
PK17166.1	PK17166.1	SBP
PK17217.1	PK17217.1	LBD
PK17217.2	PK17217.2	LBD
PK17235.1	PK17235.1	bZIP
PK17289.1	PK17289.1	FAR1
PK17295.1	PK17295.1	NAC
PK17306.1	PK17306.1	Trihelix
PK17372.1	PK17372.1	GRAS
PK17397.1	PK17397.1	NF-YC
PK17489.1	PK17489.1	GRAS
PK17535.1	PK17535.1	Trihelix
PK17549.1	PK17549.1	HSF
PK17638.1	PK17638.1	WRKY
PK17676.1	PK17676.1	TCP
PK17701.1	PK17701.1	NF-YA
PK17763.1	PK17763.1	GATA
PK17790.1	PK17790.1	SBP
PK17889.1	PK17889.1	Trihelix
PK17954.1	PK17954.1	GRAS
PK18009.1	PK18009.1	bZIP
PK18038.1	PK18038.1	bHLH
PK18087.1	PK18087.1	GRAS
PK18087.2	PK18087.2	GRAS
PK18158.1	PK18158.1	NAC
PK18312.1	PK18312.1	SBP
PK18312.2	PK18312.2	SBP
PK18353.1	PK18353.1	NF-YB
PK18387.1	PK18387.1	E2F/DP
PK18401.1	PK18401.1	bHLH
PK18424.5	PK18424.5	YABBY
PK18474.1	PK18474.1	bHLH
PK18533.1	PK18533.1	bHLH
PK18657.1	PK18657.1	GATA
PK18699.1	PK18699.1	bZIP
PK18820.1	PK18820.1	GATA
PK18821.1	PK18821.1	NAC
PK18828.1	PK18828.1	bHLH
PK18922.1	PK18922.1	LBD
PK19051.1	PK19051.1	NAC
PK19059.1	PK19059.1	NAC
PK19092.1	PK19092.1	Nin-like
PK19114.1	PK19114.1	EIL
PK19195.1	PK19195.1	NAC
PK19243.1	PK19243.1	HSF
PK19243.2	PK19243.2	HSF
PK19296.1	PK19296.1	BES1
PK19296.2	PK19296.2	BES1
PK19314.1	PK19314.1	NAC
PK19461.1	PK19461.1	Dof
PK19495.1	PK19495.1	VOZ
PK19500.1	PK19500.1	SBP
PK19587.1	PK19587.1	FAR1
PK19589.1	PK19589.1	Trihelix
PK19604.1	PK19604.1	WRKY
PK19672.1	PK19672.1	GeBP
PK19717.1	PK19717.1	TCP
PK19730.1	PK19730.1	bZIP
PK19741.1	PK19741.1	BES1
PK19985.1	PK19985.1	Trihelix
PK20005.1	PK20005.1	NF-YA
PK20089.1	PK20089.1	bHLH
PK20135.1	PK20135.1	NAC
PK20163.1	PK20163.1	WRKY
PK20184.1	PK20184.1	bHLH
PK20225.1	PK20225.1	bHLH
PK20247.1	PK20247.1	Whirly
PK20247.2	PK20247.2	Whirly
PK20257.1	PK20257.1	GRAS
PK20262.1	PK20262.1	NAC
PK20262.2	PK20262.2	NAC
PK20317.1	PK20317.1	Dof
PK20397.1	PK20397.1	bHLH
PK20442.1	PK20442.1	GeBP
PK20470.1	PK20470.1	GRAS
PK20526.1	PK20526.1	GRAS
PK20526.2	PK20526.2	GRAS
PK20543.1	PK20543.1	Trihelix
PK20543.2	PK20543.2	Trihelix
PK20553.1	PK20553.1	bHLH
PK20555.1	PK20555.1	Dof
PK20670.1	PK20670.1	GRAS
PK20670.2	PK20670.2	GRAS
PK20695.1	PK20695.1	WRKY
PK20698.1	PK20698.1	WRKY
PK20762.1	PK20762.1	HSF
PK20811.1	PK20811.1	CAMTA
PK20816.1	PK20816.1	bHLH
PK20894.1	PK20894.1	WRKY
PK20942.1	PK20942.1	bZIP
PK21020.1	PK21020.1	GRAS
PK21037.1	PK21037.1	FAR1
PK21041.1	PK21041.1	WRKY
PK21055.1	PK21055.1	bHLH
PK21055.2	PK21055.2	bHLH
PK21090.1	PK21090.1	GRAS
PK21140.1	PK21140.1	bHLH
PK21189.1	PK21189.1	Trihelix
PK21227.1	PK21227.1	bZIP
PK21234.1	PK21234.1	bHLH
PK21261.1	PK21261.1	NF-YA
PK21294.1	PK21294.1	bHLH
PK21300.1	PK21300.1	WRKY
PK21310.1	PK21310.1	Trihelix
PK21340.1	PK21340.1	NF-YC
PK21378.1	PK21378.1	WRKY
PK21422.1	PK21422.1	ZF-HD
PK21494.1	PK21494.1	SRS
PK21510.1	PK21510.1	LBD
PK21617.1	PK21617.1	LBD
PK21698.1	PK21698.1	bZIP
PK21748.1	PK21748.1	bHLH
PK21934.1	PK21934.1	GATA
PK21971.1	PK21971.1	WRKY
PK22028.1	PK22028.1	HSF
PK22182.1	PK22182.1	NAC
PK22200.1	PK22200.1	GeBP
PK22221.1	PK22221.1	NAC
PK22222.1	PK22222.1	GATA
PK22310.1	PK22310.1	GRAS
PK22311.1	PK22311.1	GRAS
PK22320.1	PK22320.1	SBP
PK22350.1	PK22350.1	bZIP
PK22356.1	PK22356.1	HSF
PK22475.1	PK22475.1	Trihelix
PK22475.2	PK22475.2	Trihelix
PK22481.1	PK22481.1	FAR1
PK22617.1	PK22617.1	Trihelix
PK22670.1	PK22670.1	Whirly
PK22680.1	PK22680.1	bHLH
PK22704.1	PK22704.1	NAC
PK22848.1	PK22848.1	CPP
PK22876.1	PK22876.1	Trihelix
PK22885.1	PK22885.1	FAR1
PK22905.1	PK22905.1	GRAS
PK23009.1	PK23009.1	Dof
PK23013.1	PK23013.1	bHLH
PK23050.1	PK23050.1	NAC
PK23084.1	PK23084.1	bHLH
PK23183.1	PK23183.1	GRAS
PK23185.1	PK23185.1	LBD
PK23205.1	PK23205.1	bHLH
PK23355.1	PK23355.1	bHLH
PK23380.1	PK23380.1	LBD
PK23387.1	PK23387.1	bHLH
PK23416.1	PK23416.1	NAC
PK23416.2	PK23416.2	NAC
PK23481.1	PK23481.1	NAC
PK23483.1	PK23483.1	Trihelix
PK23488.1	PK23488.1	NAC
PK23488.2	PK23488.2	NAC
PK23555.1	PK23555.1	bHLH
PK23618.1	PK23618.1	bHLH
PK23763.1	PK23763.1	Dof
PK23777.1	PK23777.1	LBD
PK23777.2	PK23777.2	LBD
PK23889.1	PK23889.1	WRKY
PK23964.1	PK23964.1	bZIP
PK24122.1	PK24122.1	Trihelix
PK24205.1	PK24205.1	bZIP
PK24240.1	PK24240.1	NAC
PK24360.1	PK24360.1	Dof
PK24429.1	PK24429.1	VOZ
PK24436.1	PK24436.1	WRKY
PK24471.1	PK24471.1	GATA
PK24486.1	PK24486.1	GRAS
PK24486.2	PK24486.2	GRAS
PK24620.1	PK24620.1	NAC
PK24648.1	PK24648.1	NF-YB
PK24670.1	PK24670.1	LBD
PK24688.1	PK24688.1	LBD
PK24695.1	PK24695.1	SRS
PK24695.2	PK24695.2	SRS
PK24738.1	PK24738.1	bZIP
PK24751.1	PK24751.1	GRAS
PK24855.1	PK24855.1	ZF-HD
PK24978.1	PK24978.1	bZIP
PK25041.1	PK25041.1	bHLH
PK25073.1	PK25073.1	FAR1
PK25112.1	PK25112.1	HSF
PK25119.1	PK25119.1	NAC
PK25206.1	PK25206.1	NAC
PK25213.1	PK25213.1	TCP
PK25248.1	PK25248.1	Trihelix
PK25264.1	PK25264.1	bHLH
PK25419.1	PK25419.1	bHLH
PK25436.1	PK25436.1	NAC
PK25517.1	PK25517.1	GRAS
PK25573.1	PK25573.1	LBD
PK25661.1	PK25661.1	SBP
PK25779.1	PK25779.1	SBP
PK25812.1	PK25812.1	NAC
PK25870.1	PK25870.1	WRKY
PK25885.1	PK25885.1	Trihelix
PK25888.1	PK25888.1	Dof
PK25933.1	PK25933.1	WRKY
PK26075.1	PK26075.1	Trihelix
PK26086.1	PK26086.1	Dof
PK26157.1	PK26157.1	NAC
PK26221.1	PK26221.1	HSF
PK26298.1	PK26298.1	GRAS
PK26305.1	PK26305.1	GRAS
PK26322.1	PK26322.1	SRS
PK26326.1	PK26326.1	NF-YA
PK26402.1	PK26402.1	Trihelix
PK26417.1	PK26417.1	HSF
PK26472.1	PK26472.1	LBD
PK26499.1	PK26499.1	WRKY
PK26573.1	PK26573.1	GRAS
PK26579.1	PK26579.1	bZIP
PK26582.1	PK26582.1	bHLH
PK26613.1	PK26613.1	Trihelix
PK26618.1	PK26618.1	NAC
PK26639.1	PK26639.1	SBP
PK26655.1	PK26655.1	Dof
PK26741.1	PK26741.1	NAC
PK26797.1	PK26797.1	Trihelix
PK26852.1	PK26852.1	NF-YB
PK26982.1	PK26982.1	WRKY
PK27085.1	PK27085.1	NAC
PK27109.1	PK27109.1	bZIP
PK27147.1	PK27147.1	Nin-like
PK27149.1	PK27149.1	bZIP
PK27389.1	PK27389.1	LBD
PK27404.1	PK27404.1	Trihelix
PK27436.1	PK27436.1	Trihelix
PK27552.1	PK27552.1	NF-YB
PK27567.1	PK27567.1	FAR1
PK27587.1	PK27587.1	NF-YC
PK27657.1	PK27657.1	FAR1
PK27683.1	PK27683.1	CPP
PK27921.1	PK27921.1	bHLH
PK27925.1	PK27925.1	NAC
PK27925.2	PK27925.2	NAC
PK27953.1	PK27953.1	WRKY
PK27964.1	PK27964.1	bHLH
PK27980.1	PK27980.1	bHLH
PK27986.1	PK27986.1	Trihelix
PK28057.1	PK28057.1	BES1
PK28233.1	PK28233.1	CAMTA
PK28293.1	PK28293.1	BBR-BPC
PK28347.1	PK28347.1	NAC
PK28347.2	PK28347.2	NAC
PK28391.1	PK28391.1	bHLH
PK28434.1	PK28434.1	bHLH
PK28510.1	PK28510.1	NAC
PK28516.1	PK28516.1	bHLH
PK28616.1	PK28616.1	WRKY
PK28796.1	PK28796.1	Dof
PK29011.1	PK29011.1	NF-YB
PK29014.1	PK29014.1	NAC
PK29179.1	PK29179.1	bHLH
PK29334.1	PK29334.1	LBD
PK29476.1	PK29476.1	GRAS
PK29640.1	PK29640.1	WRKY
PK29658.1	PK29658.1	TCP
PK29664.1	PK29664.1	WRKY
PK29723.1	PK29723.1	SBP
PK29806.1	PK29806.1	WRKY
PK29811.1	PK29811.1	LBD
PK29842.1	PK29842.1	NF-YB
PK02218.1	PK02218.1	ARF
PK04762.1	PK04762.1	ARF
PK07332.1	PK07332.1	ARF
PK07904.1	PK07904.1	ARF
PK10136.1	PK10136.1	ARF
PK12669.1	PK12669.1	ARF
PK13064.1	PK13064.1	ARF
PK13393.1	PK13393.1	ARF
PK16974.1	PK16974.1	ARF
PK17007.1	PK17007.1	ARF
PK17611.1	PK17611.1	ARF
PK18282.1	PK18282.1	ARF
PK27862.1	PK27862.1	ARF
PK00037.1	PK00037.1	B3
PK00037.2	PK00037.2	B3
PK00037.3	PK00037.3	B3
PK01489.1	PK01489.1	B3
PK02339.1	PK02339.1	B3
PK02339.2	PK02339.2	B3
PK02339.3	PK02339.3	B3
PK02339.4	PK02339.4	B3
PK02339.5	PK02339.5	B3
PK02339.6	PK02339.6	B3
PK02558.1	PK02558.1	B3
PK02558.2	PK02558.2	B3
PK03938.1	PK03938.1	B3
PK04158.1	PK04158.1	B3
PK04891.1	PK04891.1	B3
PK04952.1	PK04952.1	B3
PK05967.1	PK05967.1	B3
PK07888.1	PK07888.1	B3
PK08578.1	PK08578.1	B3
PK08961.1	PK08961.1	B3
PK09020.1	PK09020.1	B3
PK09138.1	PK09138.1	B3
PK09356.1	PK09356.1	B3
PK09548.1	PK09548.1	B3
PK09561.1	PK09561.1	B3
PK09728.1	PK09728.1	B3
PK09978.1	PK09978.1	B3
PK10243.1	PK10243.1	B3
PK10583.1	PK10583.1	B3
PK10791.1	PK10791.1	B3
PK10791.2	PK10791.2	B3
PK10894.1	PK10894.1	B3
PK10933.1	PK10933.1	B3
PK11025.1	PK11025.1	B3
PK12054.1	PK12054.1	B3
PK12757.1	PK12757.1	B3
PK13763.1	PK13763.1	B3
PK13916.1	PK13916.1	B3
PK14426.1	PK14426.1	B3
PK16012.1	PK16012.1	B3
PK16911.1	PK16911.1	B3
PK16925.1	PK16925.1	B3
PK17974.1	PK17974.1	B3
PK17974.2	PK17974.2	B3
PK18132.1	PK18132.1	B3
PK18945.1	PK18945.1	B3
PK19116.1	PK19116.1	B3
PK20354.1	PK20354.1	B3
PK21131.1	PK21131.1	B3
PK21157.1	PK21157.1	B3
PK21766.1	PK21766.1	B3
PK22181.1	PK22181.1	B3
PK22319.1	PK22319.1	B3
PK22348.1	PK22348.1	B3
PK23720.1	PK23720.1	B3
PK25650.1	PK25650.1	B3
PK26077.1	PK26077.1	B3
PK27196.1	PK27196.1	B3
PK28152.1	PK28152.1	B3
PK28451.1	PK28451.1	B3
PK01265.1	PK01265.1	AP2
PK01265.2	PK01265.2	AP2
PK02403.1	PK02403.1	AP2
PK04008.1	PK04008.1	AP2
PK05767.1	PK05767.1	AP2
PK07183.1	PK07183.1	AP2
PK11841.1	PK11841.1	AP2
PK14410.1	PK14410.1	AP2
PK24809.1	PK24809.1	AP2
PK26651.1	PK26651.1	AP2
PK15670.1	PK15670.1	AP2
PK18855.1	PK18855.1	AP2
PK12273.1	PK12273.1	AP2
PK12273.2	PK12273.2	AP2
PK14490.1	PK14490.1	AP2
PK16652.1	PK16652.1	AP2
PK01156.1	PK01156.1	ERF
PK01824.1	PK01824.1	ERF
PK01935.1	PK01935.1	ERF
PK02330.1	PK02330.1	ERF
PK02602.1	PK02602.1	ERF
PK02998.1	PK02998.1	ERF
PK03025.1	PK03025.1	ERF
PK04701.1	PK04701.1	ERF
PK05014.1	PK05014.1	ERF
PK05793.1	PK05793.1	ERF
PK07402.1	PK07402.1	ERF
PK07829.1	PK07829.1	ERF
PK08321.1	PK08321.1	ERF
PK08602.1	PK08602.1	ERF
PK08949.1	PK08949.1	ERF
