AEBP2_HUMAN	AEBP2_HUMAN
Z518B_HUMAN	Z518B_HUMAN
ZN646_HUMAN	ZN646_HUMAN
ZSC10_HUMAN	ZSC10_HUMAN
GLIS2_HUMAN	GLIS2_HUMAN
ANM3_HUMAN	ANM3_HUMAN
TYY1_HUMAN	TYY1_HUMAN
TYY1_HUMAN	TYY2_HUMAN
ZBT47_HUMAN	ZBT47_HUMAN
ZBT47_HUMAN	ZN652_HUMAN
FOG2_HUMAN	FOG2_HUMAN
ZN296_HUMAN	ZN296_HUMAN
ZN648_HUMAN	ZN648_HUMAN
BC11B_HUMAN	BC11B_HUMAN
BC11B_HUMAN	BC11A_HUMAN
GLIS3_HUMAN	GLIS3_HUMAN
GLIS3_HUMAN	GLIS1_HUMAN
KLF7_HUMAN	KLF7_HUMAN
KLF7_HUMAN	KLF6_HUMAN
TZAP_HUMAN	TZAP_HUMAN
ZFX_HUMAN	ZFX_HUMAN
ZFX_HUMAN	ZFY_HUMAN
ZFX_HUMAN	ZN711_HUMAN
ZN135_HUMAN	ZN135_HUMAN
ZN135_HUMAN	ZN557_HUMAN
ZN135_HUMAN	ZN558_HUMAN
ZN135_HUMAN	ZN497_HUMAN
ZN135_HUMAN	ZN275_HUMAN
ZN135_HUMAN	ZNF19_HUMAN
ZN135_HUMAN	Z324A_HUMAN
ZN135_HUMAN	Z324B_HUMAN
ZN200_HUMAN	ZN200_HUMAN
ZN521_HUMAN	ZN521_HUMAN
ZN521_HUMAN	ZN423_HUMAN
ZN597_HUMAN	ZN597_HUMAN
ZN691_HUMAN	ZN691_HUMAN
ZN830_HUMAN	ZN830_HUMAN
BCL6_HUMAN	BCL6_HUMAN
TF3A_HUMAN	TF3A_HUMAN
RBNS5_HUMAN	RBNS5_HUMAN
ZBTB1_HUMAN	ZBTB1_HUMAN
ZBT49_HUMAN	ZBT49_HUMAN
ZN202_HUMAN	ZN202_HUMAN
ZN425_HUMAN	ZN425_HUMAN
ZN524_HUMAN	ZN524_HUMAN
ZN524_HUMAN	ZN581_HUMAN
ZN524_HUMAN	ZN580_HUMAN
ZN598_HUMAN	ZN598_HUMAN
ZN692_HUMAN	ZN692_HUMAN
ZN729_HUMAN	ZN729_HUMAN
ZN729_HUMAN	ZN600_HUMAN
ZN729_HUMAN	ZN611_HUMAN
ZN729_HUMAN	ZNF81_HUMAN
ZN729_HUMAN	ZN816_HUMAN
ZN729_HUMAN	ZN667_HUMAN
ZN729_HUMAN	ZN320_HUMAN
ZN729_HUMAN	ZN616_HUMAN
ZN729_HUMAN	ZN235_HUMAN
ZN729_HUMAN	ZN836_HUMAN
ZN729_HUMAN	ZN841_HUMAN
ZN729_HUMAN	ZN665_HUMAN
ZN729_HUMAN	ZNF74_HUMAN
ZN729_HUMAN	ZN415_HUMAN
ZN729_HUMAN	ZN473_HUMAN
ZN729_HUMAN	RBAK_HUMAN
ZN729_HUMAN	ZN334_HUMAN
ZN729_HUMAN	ZN300_HUMAN
ZN729_HUMAN	ZN248_HUMAN
ZN729_HUMAN	ZN790_HUMAN
ZN781_HUMAN	ZN781_HUMAN
ZN831_HUMAN	ZN831_HUMAN
ZSC18_HUMAN	ZSC18_HUMAN
BCL6B_HUMAN	BCL6B_HUMAN
GZF1_HUMAN	GZF1_HUMAN
REPI1_HUMAN	REPI1_HUMAN
ZBT10_HUMAN	ZBT10_HUMAN
ZBTB5_HUMAN	ZBTB5_HUMAN
ZN205_HUMAN	ZN205_HUMAN
ZN358_HUMAN	ZN358_HUMAN
ZN653_HUMAN	ZN653_HUMAN
ZN835_HUMAN	ZN835_HUMAN
HIC1_HUMAN	HIC1_HUMAN
HIC1_HUMAN	HIC2_HUMAN
MAZ_HUMAN	MAZ_HUMAN
REST_HUMAN	REST_HUMAN
ZBT11_HUMAN	ZBT11_HUMAN
ZIC2_HUMAN	ZIC2_HUMAN
ZIC2_HUMAN	ZIC1_HUMAN
ZN207_HUMAN	ZN207_HUMAN
ZN428_HUMAN	ZN428_HUMAN
ZNF48_HUMAN	ZNF48_HUMAN
ZN526_HUMAN	ZN526_HUMAN
ZN654_HUMAN	ZN654_HUMAN
ZN696_HUMAN	ZN696_HUMAN
BNC2_HUMAN	BNC2_HUMAN
BNC2_HUMAN	BNC1_HUMAN
RLF_HUMAN	RLF_HUMAN
ZBT12_HUMAN	ZBT12_HUMAN
ZN208_HUMAN	ZN208_HUMAN
ZN208_HUMAN	ZN429_HUMAN
ZN208_HUMAN	ZNF93_HUMAN
ZN208_HUMAN	ZN676_HUMAN
ZN208_HUMAN	ZNF92_HUMAN
ZN208_HUMAN	ZN431_HUMAN
ZN208_HUMAN	ZNF66_HUMAN
ZN208_HUMAN	ZNF98_HUMAN
ZN208_HUMAN	ZN737_HUMAN
ZN208_HUMAN	ZN492_HUMAN
ZN208_HUMAN	ZN506_HUMAN
ZN208_HUMAN	ZNF43_HUMAN
ZN208_HUMAN	ZN726_HUMAN
ZN208_HUMAN	ZN254_HUMAN
ZN208_HUMAN	ZN493_HUMAN
ZN208_HUMAN	ZN595_HUMAN
ZN208_HUMAN	ZN681_HUMAN
ZN208_HUMAN	ZN430_HUMAN
ZN208_HUMAN	ZN724_HUMAN
ZN208_HUMAN	ZNF85_HUMAN
ZN208_HUMAN	ZN880_HUMAN
ZN208_HUMAN	ZN675_HUMAN
ZN208_HUMAN	ZN257_HUMAN
ZN208_HUMAN	ZN714_HUMAN
ZN208_HUMAN	ZN680_HUMAN
ZN208_HUMAN	ZN678_HUMAN
ZN208_HUMAN	ZN695_HUMAN
ZN208_HUMAN	ZN730_HUMAN
ZN208_HUMAN	ZN253_HUMAN
ZN208_HUMAN	ZN117_HUMAN
ZN208_HUMAN	ZN138_HUMAN
ZN208_HUMAN	ZN766_HUMAN
ZN208_HUMAN	ZN331_HUMAN
ZN208_HUMAN	ZN610_HUMAN
ZN208_HUMAN	ZNF91_HUMAN
ZN208_HUMAN	ZN107_HUMAN
ZN208_HUMAN	ZN33A_HUMAN
ZN208_HUMAN	ZN33B_HUMAN
ZN208_HUMAN	OZF_HUMAN
ZN208_HUMAN	ZNF90_HUMAN
ZN208_HUMAN	ZN486_HUMAN
ZN208_HUMAN	ZN559_HUMAN
ZN208_HUMAN	ZN718_HUMAN
ZN208_HUMAN	ZN141_HUMAN
ZN208_HUMAN	ZN629_HUMAN
ZN208_HUMAN	ZNF99_HUMAN
ZN208_HUMAN	ZN273_HUMAN
ZN208_HUMAN	ZN626_HUMAN
ZN208_HUMAN	ZN485_HUMAN
ZN208_HUMAN	ZN700_HUMAN
ZN208_HUMAN	ZN180_HUMAN
ZN208_HUMAN	ZN420_HUMAN
ZN208_HUMAN	ZFP69_HUMAN
ZN208_HUMAN	ZN728_HUMAN
ZN208_HUMAN	ZNF83_HUMAN
ZN208_HUMAN	ZN850_HUMAN
ZN208_HUMAN	ZN594_HUMAN
ZN208_HUMAN	ZFP90_HUMAN
ZN208_HUMAN	ZN571_HUMAN
ZN208_HUMAN	ZN529_HUMAN
ZN208_HUMAN	ZFP82_HUMAN
ZN208_HUMAN	ZFP30_HUMAN
ZN208_HUMAN	ZN223_HUMAN
ZN208_HUMAN	ZN230_HUMAN
ZN208_HUMAN	ZN550_HUMAN
ZN208_HUMAN	ZN658_HUMAN
ZN208_HUMAN	ZNF12_HUMAN
ZN208_HUMAN	ZNF26_HUMAN
ZN208_HUMAN	ZNF25_HUMAN
ZN208_HUMAN	ZN470_HUMAN
ZN208_HUMAN	ZN570_HUMAN
ZN208_HUMAN	ZN419_HUMAN
ZN208_HUMAN	ZN773_HUMAN
ZN208_HUMAN	ZN721_HUMAN
ZN208_HUMAN	ZN100_HUMAN
ZN208_HUMAN	ZN708_HUMAN
ZN208_HUMAN	ZN732_HUMAN
ZN208_HUMAN	ZN682_HUMAN
ZN208_HUMAN	ZNF70_HUMAN
ZN208_HUMAN	ZN260_HUMAN
ZN208_HUMAN	ZFP28_HUMAN
ZN208_HUMAN	ZN471_HUMAN
ZN208_HUMAN	ZN583_HUMAN
ZN208_HUMAN	ZN502_HUMAN
ZN208_HUMAN	Z780B_HUMAN
ZN208_HUMAN	Z780A_HUMAN
ZN208_HUMAN	ZN267_HUMAN
ZN208_HUMAN	ZN283_HUMAN
ZN208_HUMAN	ZN615_HUMAN
ZN208_HUMAN	ZN345_HUMAN
ZN208_HUMAN	ZN501_HUMAN
ZN208_HUMAN	ZN432_HUMAN
ZN208_HUMAN	ZN613_HUMAN
ZN208_HUMAN	ZN350_HUMAN
ZN208_HUMAN	ZN121_HUMAN
ZN208_HUMAN	ZN569_HUMAN
ZN208_HUMAN	ZN568_HUMAN
ZN208_HUMAN	ZN623_HUMAN
ZN208_HUMAN	ZNF3_HUMAN
ZN208_HUMAN	ZN630_HUMAN
ZN208_HUMAN	ZN182_HUMAN
ZN208_HUMAN	ZNF10_HUMAN
ZN208_HUMAN	ZN195_HUMAN
ZN208_HUMAN	ZN479_HUMAN
ZN208_HUMAN	ZN716_HUMAN
ZN208_HUMAN	ZN735_HUMAN
ZN208_HUMAN	ZN679_HUMAN
ZN208_HUMAN	ZN727_HUMAN
ZN208_HUMAN	ZN736_HUMAN
ZN208_HUMAN	ZN527_HUMAN
ZN208_HUMAN	ZN181_HUMAN
ZN208_HUMAN	ZN302_HUMAN
ZN208_HUMAN	ZN140_HUMAN
ZN208_HUMAN	ZNF2_HUMAN
ZN208_HUMAN	ZFP92_HUMAN
ZN208_HUMAN	ZN845_HUMAN
ZN208_HUMAN	ZN525_HUMAN
ZN208_HUMAN	ZFP62_HUMAN
ZN208_HUMAN	ZN229_HUMAN
ZN208_HUMAN	ZN226_HUMAN
ZN208_HUMAN	ZN234_HUMAN
ZN208_HUMAN	ZNF28_HUMAN
ZN208_HUMAN	ZN888_HUMAN
ZN208_HUMAN	ZN251_HUMAN
ZN208_HUMAN	ZN528_HUMAN
ZN208_HUMAN	Z354B_HUMAN
ZN208_HUMAN	Z354A_HUMAN
ZN208_HUMAN	ZN578_HUMAN
ZN208_HUMAN	ZN674_HUMAN
ZN208_HUMAN	ZN879_HUMAN
ZN208_HUMAN	ZN519_HUMAN
ZN208_HUMAN	ZN701_HUMAN
ZN208_HUMAN	ZN808_HUMAN
ZN208_HUMAN	ZN860_HUMAN
ZN208_HUMAN	ZN813_HUMAN
ZN208_HUMAN	ZN765_HUMAN
ZN208_HUMAN	ZN468_HUMAN
ZN208_HUMAN	ZN454_HUMAN
ZN208_HUMAN	ZN347_HUMAN
ZN208_HUMAN	ZN534_HUMAN
ZN208_HUMAN	ZFP37_HUMAN
ZN208_HUMAN	ZN160_HUMAN
ZN208_HUMAN	ZN677_HUMAN
ZN208_HUMAN	Z354C_HUMAN
ZN208_HUMAN	Z585A_HUMAN
ZN208_HUMAN	Z585B_HUMAN
ZN208_HUMAN	ZN189_HUMAN
ZN208_HUMAN	ZNF80_HUMAN
ZN208_HUMAN	ZN112_HUMAN
ZN208_HUMAN	ZN224_HUMAN
ZN208_HUMAN	ZN225_HUMAN
ZN208_HUMAN	ZN221_HUMAN
ZN208_HUMAN	ZN155_HUMAN
ZN208_HUMAN	ZN222_HUMAN
ZN208_HUMAN	ZNF7_HUMAN
ZN208_HUMAN	ZN480_HUMAN
ZN208_HUMAN	ZN233_HUMAN
ZN208_HUMAN	ZN227_HUMAN
ZN208_HUMAN	ZN284_HUMAN
ZN208_HUMAN	ZN285_HUMAN
ZN208_HUMAN	ZN624_HUMAN
ZN208_HUMAN	ZN461_HUMAN
ZN208_HUMAN	ZN582_HUMAN
ZN208_HUMAN	ZN875_HUMAN
ZN208_HUMAN	ZN133_HUMAN
ZN208_HUMAN	ZN169_HUMAN
ZN208_HUMAN	ZN343_HUMAN
ZN208_HUMAN	ZN614_HUMAN
ZN208_HUMAN	ZN713_HUMAN
ZN208_HUMAN	ZN546_HUMAN
ZN208_HUMAN	ZN607_HUMAN
ZN208_HUMAN	ZN433_HUMAN
ZN208_HUMAN	ZN878_HUMAN
ZN208_HUMAN	ZN491_HUMAN
ZN208_HUMAN	ZN625_HUMAN
ZN208_HUMAN	ZN573_HUMAN
ZN208_HUMAN	ZNF30_HUMAN
ZN208_HUMAN	ZN317_HUMAN
ZN208_HUMAN	ZN440_HUMAN
ZN208_HUMAN	ZNF69_HUMAN
ZN208_HUMAN	ZN763_HUMAN
ZN208_HUMAN	ZN404_HUMAN
ZN208_HUMAN	ZN565_HUMAN
ZN208_HUMAN	ZF69B_HUMAN
ZN208_HUMAN	ZFP14_HUMAN
ZN208_HUMAN	ZN177_HUMAN
ZN208_HUMAN	ZN154_HUMAN
ZN208_HUMAN	ZN829_HUMAN
ZN208_HUMAN	ZN566_HUMAN
ZN208_HUMAN	ZN684_HUMAN
ZN208_HUMAN	Z705A_HUMAN
ZN208_HUMAN	Z705B_HUMAN
ZN208_HUMAN	Z705D_HUMAN
ZN208_HUMAN	Z705E_HUMAN
ZN208_HUMAN	Z705G_HUMAN
ZN208_HUMAN	ZN184_HUMAN
ZN208_HUMAN	ZNF79_HUMAN
ZN208_HUMAN	ZN514_HUMAN
ZN304_HUMAN	ZN304_HUMAN
ZN304_HUMAN	ZN264_HUMAN
ZN304_HUMAN	ZN543_HUMAN
ZN304_HUMAN	ZN460_HUMAN
ZN304_HUMAN	ZN584_HUMAN
TALAN_HUMAN	TALAN_HUMAN
ZN655_HUMAN	ZN655_HUMAN
ZN697_HUMAN	ZN697_HUMAN
ZN784_HUMAN	ZN784_HUMAN
ZN837_HUMAN	ZN837_HUMAN
CASZ1_HUMAN	CASZ1_HUMAN
HINFP_HUMAN	HINFP_HUMAN
MTF1_HUMAN	MTF1_HUMAN
RREB1_HUMAN	RREB1_HUMAN
ZBT14_HUMAN	ZBT14_HUMAN
ZN366_HUMAN	ZN366_HUMAN
CBLL2_HUMAN	CBLL2_HUMAN
ZEP1_HUMAN	ZEP1_HUMAN
MYNN_HUMAN	MYNN_HUMAN
SALL1_HUMAN	SALL1_HUMAN
SALL1_HUMAN	SALL3_HUMAN
ZBT16_HUMAN	ZBT16_HUMAN
ZBT7C_HUMAN	ZBT7C_HUMAN
ZBT7C_HUMAN	ZBT7A_HUMAN
ZBT7C_HUMAN	ZBT7B_HUMAN
ZIC5_HUMAN	ZIC5_HUMAN
ZIC5_HUMAN	ZIC4_HUMAN
ZIC5_HUMAN	ZIC3_HUMAN
ZN142_HUMAN	ZN142_HUMAN
ZN212_HUMAN	ZN212_HUMAN
ZN316_HUMAN	ZN316_HUMAN
ZN367_HUMAN	ZN367_HUMAN
ZN786_HUMAN	ZN786_HUMAN
ZSC25_HUMAN	ZSC25_HUMAN
CCD17_HUMAN	CCD17_HUMAN
ZEP2_HUMAN	ZEP2_HUMAN
MZF1_HUMAN	MZF1_HUMAN
SALL2_HUMAN	SALL2_HUMAN
ZBT17_HUMAN	ZBT17_HUMAN
ZBT8A_HUMAN	ZBT8A_HUMAN
ZN143_HUMAN	ZN143_HUMAN
ZN143_HUMAN	ZNF76_HUMAN
ZN608_HUMAN	ZN608_HUMAN
ZN608_HUMAN	ZN609_HUMAN
ZN787_HUMAN	ZN787_HUMAN
ZN843_HUMAN	ZN843_HUMAN
CHAP1_HUMAN	CHAP1_HUMAN
ZEP3_HUMAN	ZEP3_HUMAN
ZBT18_HUMAN	ZBT18_HUMAN
ZBT18_HUMAN	ZBT42_HUMAN
ZBT8B_HUMAN	ZBT8B_HUMAN
ZIM2_HUMAN	ZIM2_HUMAN
ZN214_HUMAN	ZN214_HUMAN
ZN318_HUMAN	ZN318_HUMAN
ZN532_HUMAN	ZN532_HUMAN
ZN532_HUMAN	ZN592_HUMAN
ZN740_HUMAN	ZN740_HUMAN
ZN788_HUMAN	ZN788_HUMAN
ZN844_HUMAN	ZN844_HUMAN
ZN844_HUMAN	ZNF77_HUMAN
ZN844_HUMAN	ZN101_HUMAN
CPXCR_HUMAN	CPXCR_HUMAN
OSR2_HUMAN	OSR2_HUMAN
OSR2_HUMAN	OSR1_HUMAN
SALL4_HUMAN	SALL4_HUMAN
ZBTB2_HUMAN	ZBTB2_HUMAN
ZBTB9_HUMAN	ZBTB9_HUMAN
ZN148_HUMAN	ZN148_HUMAN
ZN215_HUMAN	ZN215_HUMAN
ZN319_HUMAN	ZN319_HUMAN
ZN488_HUMAN	ZN488_HUMAN
ZN572_HUMAN	ZN572_HUMAN
ZN746_HUMAN	ZN746_HUMAN
ZN789_HUMAN	ZN789_HUMAN
CTCF_HUMAN	CTCF_HUMAN
CTCF_HUMAN	CTCFL_HUMAN
SCRT1_HUMAN	SCRT1_HUMAN
SCRT1_HUMAN	SCRT2_HUMAN
ZBT20_HUMAN	ZBT20_HUMAN
ZFAT_HUMAN	ZFAT_HUMAN
ZN217_HUMAN	ZN217_HUMAN
ZNF32_HUMAN	ZNF32_HUMAN
ZN384_HUMAN	ZN384_HUMAN
ZN384_HUMAN	ZN362_HUMAN
ZN536_HUMAN	ZN536_HUMAN
ZN747_HUMAN	ZN747_HUMAN
ZSC32_HUMAN	ZSC32_HUMAN
OVOL2_HUMAN	OVOL2_HUMAN
OVOL2_HUMAN	OVOL1_HUMAN
OVOL2_HUMAN	OVOL3_HUMAN
ZBT21_HUMAN	ZBT21_HUMAN
ZN219_HUMAN	ZN219_HUMAN
ZN438_HUMAN	ZN438_HUMAN
ZN574_HUMAN	ZN574_HUMAN
ZSCA4_HUMAN	ZSCA4_HUMAN
DPF1_HUMAN	DPF1_HUMAN
DPF1_HUMAN	DPF3_HUMAN
IKZF4_HUMAN	IKZF4_HUMAN
IKZF4_HUMAN	IKZF2_HUMAN
IKZF4_HUMAN	IKZF1_HUMAN
IKZF4_HUMAN	IKZF3_HUMAN
S2A4R_HUMAN	S2A4R_HUMAN
ZBT22_HUMAN	ZBT22_HUMAN
ZN268_HUMAN	ZN268_HUMAN
ZN268_HUMAN	ZN551_HUMAN
ZN268_HUMAN	ZN311_HUMAN
ZN268_HUMAN	ZN664_HUMAN
ZN268_HUMAN	ZN567_HUMAN
ZN268_HUMAN	ZN530_HUMAN
ZN268_HUMAN	ZN382_HUMAN
ZN268_HUMAN	ZFP3_HUMAN
ZN268_HUMAN	ZN484_HUMAN
ZN268_HUMAN	ZNF84_HUMAN
ZN268_HUMAN	ZN605_HUMAN
ZN268_HUMAN	ZN134_HUMAN
ZN268_HUMAN	ZFP1_HUMAN
ZN268_HUMAN	ZN586_HUMAN
ZN268_HUMAN	ZNF41_HUMAN
ZN268_HUMAN	ZNF45_HUMAN
ZN268_HUMAN	ZN337_HUMAN
ZN268_HUMAN	ZN672_HUMAN
ZN268_HUMAN	ZN175_HUMAN
ZN268_HUMAN	ZN157_HUMAN
ZN268_HUMAN	ZN517_HUMAN
ZN268_HUMAN	ZN649_HUMAN
ZN268_HUMAN	ZN577_HUMAN
ZN268_HUMAN	ZN717_HUMAN
ZN268_HUMAN	ZN510_HUMAN
ZN268_HUMAN	ZN544_HUMAN
ZN268_HUMAN	ZN782_HUMAN
Z385B_HUMAN	Z385B_HUMAN
Z385B_HUMAN	Z385D_HUMAN
Z385B_HUMAN	Z385A_HUMAN
ZN541_HUMAN	ZN541_HUMAN
ZN575_HUMAN	ZN575_HUMAN
ZN668_HUMAN	ZN668_HUMAN
ZSA5A_HUMAN	ZSA5A_HUMAN
ZSA5A_HUMAN	ZSA5C_HUMAN
ZSA5A_HUMAN	ZSA5B_HUMAN
IKZF5_HUMAN	IKZF5_HUMAN
PATZ1_HUMAN	PATZ1_HUMAN
ZBT24_HUMAN	ZBT24_HUMAN
ZKSC5_HUMAN	ZKSC5_HUMAN
ZNF16_HUMAN	ZNF16_HUMAN
ZN576_HUMAN	ZN576_HUMAN
ZN669_HUMAN	ZN669_HUMAN
ZN75D_HUMAN	ZN75D_HUMAN
ZN75D_HUMAN	ZN75A_HUMAN
DZIP1_HUMAN	DZIP1_HUMAN
INSM1_HUMAN	INSM1_HUMAN
PEG3_HUMAN	PEG3_HUMAN
ZBT25_HUMAN	ZBT25_HUMAN
ZN274_HUMAN	ZN274_HUMAN
ZN496_HUMAN	ZN496_HUMAN
ZN853_HUMAN	ZN853_HUMAN
E4F1_HUMAN	E4F1_HUMAN
INSM2_HUMAN	INSM2_HUMAN
PLAG1_HUMAN	PLAG1_HUMAN
PLAG1_HUMAN	PLAL2_HUMAN
PLAG1_HUMAN	PLAL1_HUMAN
SNAI3_HUMAN	SNAI3_HUMAN
SNAI3_HUMAN	SNAI2_HUMAN
SNAI3_HUMAN	SNAI1_HUMAN
ZBT26_HUMAN	ZBT26_HUMAN
ZBT26_HUMAN	ZBTB6_HUMAN
ZN441_HUMAN	ZN441_HUMAN
ZN441_HUMAN	ZN443_HUMAN
ZN441_HUMAN	ZNF44_HUMAN
ZN441_HUMAN	ZN823_HUMAN
ZN441_HUMAN	ZN490_HUMAN
ZN441_HUMAN	ZN563_HUMAN
ZN441_HUMAN	ZNF71_HUMAN
ZN441_HUMAN	ZFP2_HUMAN
ZN441_HUMAN	ZN799_HUMAN
ZN441_HUMAN	ZN442_HUMAN
ZN441_HUMAN	ZN439_HUMAN
ZN441_HUMAN	ZN709_HUMAN
ZN441_HUMAN	ZN627_HUMAN
ZN441_HUMAN	ZN555_HUMAN
ZN441_HUMAN	ZNF20_HUMAN
ZN441_HUMAN	ZN791_HUMAN
ZN441_HUMAN	ZN124_HUMAN
ZN441_HUMAN	ZNF57_HUMAN
ZN441_HUMAN	ZN556_HUMAN
ZN441_HUMAN	ZNF14_HUMAN
ZN441_HUMAN	ZN426_HUMAN
ZN441_HUMAN	ZN596_HUMAN
ZN618_HUMAN	ZN618_HUMAN
EEA1_HUMAN	EEA1_HUMAN
JAZF1_HUMAN	JAZF1_HUMAN
SP1_HUMAN	SP1_HUMAN
SP1_HUMAN	SP4_HUMAN
SP1_HUMAN	SP3_HUMAN
ZBTB3_HUMAN	ZBTB3_HUMAN
ZMAT1_HUMAN	ZMAT1_HUMAN
ZN276_HUMAN	ZN276_HUMAN
ZN395_HUMAN	ZN395_HUMAN
ZN395_HUMAN	ZN704_HUMAN
ZN579_HUMAN	ZN579_HUMAN
ZN619_HUMAN	ZN619_HUMAN
ZNF8_HUMAN	ZNF8_HUMAN
ZN865_HUMAN	ZN865_HUMAN
ZUP1_HUMAN	ZUP1_HUMAN
EGR1_HUMAN	EGR1_HUMAN
EGR1_HUMAN	EGR2_HUMAN
EGR1_HUMAN	EGR3_HUMAN
KCMF1_HUMAN	KCMF1_HUMAN
SP2_HUMAN	SP2_HUMAN
ZBT32_HUMAN	ZBT32_HUMAN
ZN333_HUMAN	ZN333_HUMAN
ZN333_HUMAN	ZN891_HUMAN
ZN707_HUMAN	ZN707_HUMAN
KLF1_HUMAN	KLF1_HUMAN
PRDM1_HUMAN	PRDM1_HUMAN
KAISO_HUMAN	KAISO_HUMAN
A0A0G2JH32_HUMAN	A0A0G2JH32_HUMAN
A0A0G2JH32_HUMAN	ZFP41_HUMAN
ZN174_HUMAN	ZN174_HUMAN
ZN444_HUMAN	ZN444_HUMAN
ZN621_HUMAN	ZN621_HUMAN
ZN621_HUMAN	ZN620_HUMAN
ZN621_HUMAN	ZN662_HUMAN
ZN800_HUMAN	ZN800_HUMAN
PRD10_HUMAN	PRD10_HUMAN
ZN335_HUMAN	ZN335_HUMAN
ZN445_HUMAN	ZN445_HUMAN
ZN503_HUMAN	ZN503_HUMAN
ZN503_HUMAN	ZN703_HUMAN
Z804A_HUMAN	Z804A_HUMAN
ZXDC_HUMAN	ZXDC_HUMAN
ZXDC_HUMAN	ZXDB_HUMAN
ZXDC_HUMAN	ZXDA_HUMAN
EGR4_HUMAN	EGR4_HUMAN
KLF11_HUMAN	KLF11_HUMAN
KLF11_HUMAN	KLF10_HUMAN
PRD12_HUMAN	PRD12_HUMAN
SP5_HUMAN	SP5_HUMAN
ZBT37_HUMAN	ZBT37_HUMAN
ZBT37_HUMAN	ZBT34_HUMAN
ZFP42_HUMAN	ZFP42_HUMAN
ZN446_HUMAN	ZN446_HUMAN
ZN768_HUMAN	ZN768_HUMAN
