DAF12_CAEEL	DAF12_CAEEL
NHR19_CAEEL	NHR19_CAEEL
A0A061AKS3_CAEEL	A0A061AKS3_CAEEL
NHR67_CAEEL	NHR67_CAEEL
NH100_CAEEL	NH100_CAEEL
NH100_CAEEL	O16890_CAEEL
NHR13_CAEEL	NHR13_CAEEL
Q20379_CAEEL	Q20379_CAEEL
Q20379_CAEEL	O45664_CAEEL
Q20379_CAEEL	O17932_CAEEL
Q20379_CAEEL	NH197_CAEEL
Q20379_CAEEL	NH268_CAEEL
Q20379_CAEEL	NHR52_CAEEL
NH130_CAEEL	NH130_CAEEL
NH130_CAEEL	NHR55_CAEEL
NH130_CAEEL	B1GRK7_CAEEL
NH130_CAEEL	NHR65_CAEEL
NH130_CAEEL	O16961_CAEEL
NH130_CAEEL	NHR98_CAEEL
NH130_CAEEL	G5EDC3_CAEEL
NH130_CAEEL	Q966H4_CAEEL
NH130_CAEEL	Q966H7_CAEEL
NH130_CAEEL	Q966H9_CAEEL
NH130_CAEEL	O45905_CAEEL
NH130_CAEEL	Q966A2_CAEEL
NH130_CAEEL	H2L019_CAEEL
NH130_CAEEL	NH133_CAEEL
NH130_CAEEL	A0A0K3AS09_CAEEL
NH130_CAEEL	NH115_CAEEL
NH130_CAEEL	O16661_CAEEL
NH130_CAEEL	O16663_CAEEL
NH130_CAEEL	G4SR04_CAEEL
NH130_CAEEL	Q9U1R0_CAEEL
NH130_CAEEL	Q7YXC6_CAEEL
NH130_CAEEL	O17131_CAEEL
NH130_CAEEL	A0A0K3AV42_CAEEL
NH130_CAEEL	O16398_CAEEL
NH130_CAEEL	A0A0K3AY13_CAEEL
NH130_CAEEL	O16954_CAEEL
NH130_CAEEL	B7E2K1_CAEEL
NH130_CAEEL	NH125_CAEEL
NHR4_CAEEL	NHR4_CAEEL
NHR69_CAEEL	NHR69_CAEEL
NHR69_CAEEL	NHR64_CAEEL
ODR7_CAEEL	ODR7_CAEEL
Q18392_CAEEL	Q18392_CAEEL
Q18392_CAEEL	Q18394_CAEEL
NHR40_CAEEL	NHR40_CAEEL
NHR7_CAEEL	NHR7_CAEEL
SET23_CAEEL	SET23_CAEEL
NH164_CAEEL	NH164_CAEEL
NH164_CAEEL	O62112_CAEEL
NH164_CAEEL	NHR77_CAEEL
NH164_CAEEL	NH174_CAEEL
NH164_CAEEL	NH169_CAEEL
NH164_CAEEL	Q9XXL8_CAEEL
NH164_CAEEL	O45507_CAEEL
NH164_CAEEL	NH217_CAEEL
NH164_CAEEL	O62116_CAEEL
NH164_CAEEL	O16538_CAEEL
NH164_CAEEL	O16603_CAEEL
NH164_CAEEL	G5EGP2_CAEEL
NH164_CAEEL	Q19438_CAEEL
NH164_CAEEL	G5EG35_CAEEL
NH164_CAEEL	NHR75_CAEEL
NH164_CAEEL	O16537_CAEEL
NH164_CAEEL	O45505_CAEEL
NH164_CAEEL	Q9XVC7_CAEEL
NH164_CAEEL	NHR89_CAEEL
Q3V5L2_CAEEL	Q3V5L2_CAEEL
CNR14_CAEEL	CNR14_CAEEL
H2L0B0_CAEEL	H2L0B0_CAEEL
H2L0B0_CAEEL	Q95Y09_CAEEL
H2L0B0_CAEEL	Q8WSN9_CAEEL
H2L0B0_CAEEL	A2V8C5_CAEEL
H2L0B0_CAEEL	Q95Y07_CAEEL
NHR42_CAEEL	NHR42_CAEEL
NHR71_CAEEL	NHR71_CAEEL
UNC55_CAEEL	UNC55_CAEEL
Q3LQX0_CAEEL	Q3LQX0_CAEEL
G5EE08_CAEEL	G5EE08_CAEEL
G5EE08_CAEEL	NHR51_CAEEL
NHR54_CAEEL	NHR54_CAEEL
NHR54_CAEEL	O45315_CAEEL
NHR54_CAEEL	A0A486WV44_CAEEL
O45756_CAEEL	O45756_CAEEL
O44638_CAEEL	O44638_CAEEL
O44638_CAEEL	H2KZT0_CAEEL
O44638_CAEEL	A0A0K3ARX8_CAEEL
O44638_CAEEL	A0A0K3ASD6_CAEEL
O01448_CAEEL	O01448_CAEEL
O44635_CAEEL	O44635_CAEEL
NHR85_CAEEL	NHR85_CAEEL
G5EBL9_CAEEL	G5EBL9_CAEEL
Q7YWS6_CAEEL	Q7YWS6_CAEEL
Q7YWS6_CAEEL	G5EGI3_CAEEL
A0A0M7RDZ3_CAEEL	A0A0M7RDZ3_CAEEL
G4SCE4_CAEEL	G4SCE4_CAEEL
O46003_CAEEL	O46003_CAEEL
O46003_CAEEL	Q95XH8_CAEEL
O46003_CAEEL	O45987_CAEEL
O46003_CAEEL	A7LPI6_CAEEL
O46003_CAEEL	O17991_CAEEL
O46003_CAEEL	Q9U1U2_CAEEL
Q2V068_CAEEL	Q2V068_CAEEL
NHR57_CAEEL	NHR57_CAEEL
NHR12_CAEEL	NHR12_CAEEL
NHR12_CAEEL	NHR28_CAEEL
NHR12_CAEEL	NHR16_CAEEL
NHR12_CAEEL	Q21700_CAEEL
NHR12_CAEEL	NHR86_CAEEL
NHR12_CAEEL	Q95QB3_CAEEL
NHR12_CAEEL	G5EEL3_CAEEL
NHR12_CAEEL	H2L0L6_CAEEL
O61854_CAEEL	O61854_CAEEL
O61854_CAEEL	O01563_CAEEL
O61854_CAEEL	A0A168H5N7_CAEEL
O61854_CAEEL	A0A163VU66_CAEEL
O16965_CAEEL	O16965_CAEEL
O16965_CAEEL	NH106_CAEEL
NHR25_CAEEL	NHR25_CAEEL
O16884_CAEEL	O16884_CAEEL
O16960_CAEEL	O16960_CAEEL
O16960_CAEEL	NHR90_CAEEL
O16960_CAEEL	G5EC41_CAEEL
H2KZA1_CAEEL	H2KZA1_CAEEL
G5EET0_CAEEL	G5EET0_CAEEL
A0A168H5K4_CAEEL	A0A168H5K4_CAEEL
NHR59_CAEEL	NHR59_CAEEL
NH121_CAEEL	NH121_CAEEL
Q17929_CAEEL	Q17929_CAEEL
Q17929_CAEEL	A0A131MB63_CAEEL
O61872_CAEEL	O61872_CAEEL
O61872_CAEEL	O61869_CAEEL
O61872_CAEEL	O61868_CAEEL
O61872_CAEEL	NH167_CAEEL
NHR3_CAEEL	NHR3_CAEEL
NHR6_CAEEL	NHR6_CAEEL
NHR9_CAEEL	NHR9_CAEEL
Q18155_CAEEL	Q18155_CAEEL
NH154_CAEEL	NH154_CAEEL
NH154_CAEEL	Q21806_CAEEL
NH154_CAEEL	NH153_CAEEL
NH154_CAEEL	NH136_CAEEL
NH154_CAEEL	Q21805_CAEEL
NH154_CAEEL	N1NTC6_CAEEL
NH154_CAEEL	Q21804_CAEEL
Q23038_CAEEL	Q23038_CAEEL
NHR31_CAEEL	NHR31_CAEEL
NHR61_CAEEL	NHR61_CAEEL
NHR91_CAEEL	NHR91_CAEEL
Q9U2V3_CAEEL	Q9U2V3_CAEEL
A0A061AJB0_CAEEL	A0A061AJB0_CAEEL
Q2V069_CAEEL	Q2V069_CAEEL
NHR23_CAEEL	NHR23_CAEEL
NHR44_CAEEL	NHR44_CAEEL
NHR44_CAEEL	A0A131MCX9_CAEEL
NHR44_CAEEL	O16753_CAEEL
NHR44_CAEEL	H2L098_CAEEL
G5EEH2_CAEEL	G5EEH2_CAEEL
NH199_CAEEL	NH199_CAEEL
NH199_CAEEL	NHR53_CAEEL
G5EGN8_CAEEL	G5EGN8_CAEEL
G5EGN8_CAEEL	Q22298_CAEEL
G5EGN8_CAEEL	Q22296_CAEEL
Q19496_CAEEL	Q19496_CAEEL
B3WFU1_CAEEL	B3WFU1_CAEEL
NHR2_CAEEL	NHR2_CAEEL
O17013_CAEEL	O17013_CAEEL
O17013_CAEEL	P90822_CAEEL
H2KZB8_CAEEL	H2KZB8_CAEEL
Q95QT4_CAEEL	Q95QT4_CAEEL
Q17589_CAEEL	Q17589_CAEEL
NHR20_CAEEL	NHR20_CAEEL
A0A486WVR6_CAEEL	A0A486WVR6_CAEEL
NHR47_CAEEL	NHR47_CAEEL
Q65CM0_CAEEL	Q65CM0_CAEEL
NHR11_CAEEL	NHR11_CAEEL
Q9XX32_CAEEL	Q9XX32_CAEEL
Q9XX32_CAEEL	O45842_CAEEL
NHR48_CAEEL	NHR48_CAEEL
NHR14_CAEEL	NHR14_CAEEL
O16443_CAEEL	O16443_CAEEL
O16443_CAEEL	Q20916_CAEEL
O16443_CAEEL	O16442_CAEEL
NHR49_CAEEL	NHR49_CAEEL
Q20097_CAEEL	Q20097_CAEEL
NH111_CAEEL	NH111_CAEEL
Q9N418_CAEEL	Q9N418_CAEEL
Q95Y05_CAEEL	Q95Y05_CAEEL
Q95Y05_CAEEL	O17081_CAEEL
Q95Y05_CAEEL	O45328_CAEEL
NHR5_CAEEL	NHR5_CAEEL
NHR79_CAEEL	NHR79_CAEEL
NHR79_CAEEL	A0A0K3ASK8_CAEEL
Q18895_CAEEL	Q18895_CAEEL
A0A0K3AVS8_CAEEL	A0A0K3AVS8_CAEEL
A0A0K3AW28_CAEEL	A0A0K3AW28_CAEEL
NHR8_CAEEL	NHR8_CAEEL
J7SF93_CAEEL	J7SF93_CAEEL
J7SF93_CAEEL	Q9XVJ1_CAEEL
J7SF93_CAEEL	NH213_CAEEL
Q966B7_CAEEL	Q966B7_CAEEL
Q9XXB5_CAEEL	Q9XXB5_CAEEL
O76668_CAEEL	O76668_CAEEL
A0A168HAV7_CAEEL	A0A168HAV7_CAEEL
Q9BKZ8_CAEEL	Q9BKZ8_CAEEL
Q9N2W3_CAEEL	Q9N2W3_CAEEL
F3Y5S7_CAEEL	F3Y5S7_CAEEL
O45365_CAEEL	O45365_CAEEL
O45365_CAEEL	NH108_CAEEL
G5EE21_CAEEL	G5EE21_CAEEL
G5EE21_CAEEL	NHR60_CAEEL
G5EE21_CAEEL	H2KYV4_CAEEL
G5EE21_CAEEL	F5GUE4_CAEEL
G5EE21_CAEEL	A5JYV4_CAEEL
G5EE21_CAEEL	O01446_CAEEL
G5EE21_CAEEL	A0A131MB07_CAEEL
