id	antibody	tf_uniprot_id	tf_uniprot_ac	protein_names	gene_names	species	cell_title	treatment	experiment_type	GEO_GSE	GEO_GSM	ENCODE	PUBMED	control_antibody	control_GEO_GSE	control_GEO_GSM	control_ENCODE	FRiP_GEM	FRiP_MACS	FRiP_PICS	FRiP_SISSRS	estFragLen	NSC	RSC	NRF	PBC1	PBC2
EXP045531	psq	A1Z8A6	A1Z8A6_DROME	"Pipsqueak, isoform M"	psq CG2368 Dmel_CG2368	Drosophila melanogaster	whole organism (developmental stage: white prepupa)	iso1 (y; bw cn sp) strain	normal	GSE34385	GSM847952	None	21430782	input	GSE34385	GSM847953	None	0.000797436	0.05181519	4.53E-05	0.00370305	5651	1.025196	-22.73073	0.78063	0.803096	5.611838
EXP045523	Kr	P07247	KRUP_DROME	Protein krueppel	Kr CG3340	Drosophila melanogaster	Kc167 (development stage: embryonic)	iso1 (y; bw cn sp) strain	normal	GSE34373	GSM847770	None	21430782	input	GSE34373	GSM847771	None	1.80E-05	0.007146591	0	7.94E-05	5258	1.006897	1.334261	0.657478	0.686427	3.488596
EXP045513	Hth	O46339	HTH_DROME	Homeobox protein homothorax (Homeobox protein dorsotonals)	hth dtl CG17117	Drosophila melanogaster	8-16 h embryos	iso1 (y; bw cn sp) strain	normal	GSE34361	GSM847704	None	21430782	input	GSE34361	GSM847705	None	7.63E-05	0.15932873	4.57E-06	0.001862068	5208	1.038315	2.675551	0.71228	0.751626	4.586257
EXP045505	Fru	Q8IN81	FRU_DROME	Sex determination protein fruitless	fru BTB-VI CG14307	Drosophila melanogaster	16-24 h embryos	iso1 (y; bw cn sp) strain	normal	GSE34357	GSM847696	None	21430782	input	GSE34357	GSM847697	None	0.000427857	0.000410891	0	0.010236612	5261	1.016115	2.692802	0.760111	0.775421	4.741769
EXP045501	CG16778	P14083	LOV_DROME	Protein jim lovell (Protein TKR) (Tyrosine kinase-related) (dTKR)	lov Tkr CG16778	Drosophila melanogaster	16-24 h embryos	iso1 (y; bw cn sp) strain	normal	GSE34352	GSM847673	None	21430782	input	GSE34352	GSM847674	None	5.24E-05	0.004711555	6.24E-05	7.06E-05	5756	1.029224	-7.401056	0.68237	0.71835	3.964902
EXP045499	br-core	Q01295	BRC1_DROME	Broad-complex core protein isoforms 1/2/3/4/5	br Br-C CG11491	Drosophila melanogaster	0-8 h embryos	iso1 (y; bw cn sp) strain	normal	GSE34348	GSM847657	None	21430782	input	GSE34348	GSM847658	None	0	0.130877035	0	0.000587999	5212	1.033456	8.235114	0.738297	0.766092	4.732589
EXP045497	Prd	P06601	PRD_DROME	Segmentation protein paired	prd CG6716	Drosophila melanogaster	0-12 h embryos	strain: iso1 (y; bw cn sp)	normal	GSE34345	GSM847619	None	21430782	None	GSE34345	GSM847578	None	7.08E-05	0.007799874	2.42E-05	0.000242126	5379	1.02636	9.800809	0.676445	0.717992	4.055744
EXP045495	sc	P10084	AST4_DROME	Achaete-scute complex protein T4 (Protein scute)	sc sis-b T4 CG3827	Drosophila melanogaster	0-12 h embryos	iso1 (y; bw cn sp) strain	normal	GSE34347	GSM847656	None	21430782	input	GSE34347	GSM847578	None	1.66E-05	0.020602632	0	0.000118025	5459	1.042714	-9.971457	0.697572	0.743328	4.554124
EXP045493	Ash2	Q94545	ASH2_DROME	"Set1/Ash2 histone methyltransferase complex subunit ASH2 (Absent, small, or homeotic discs protein 2)"	ash2 CG6677	Drosophila melanogaster	0-12 h embryos	iso1 (y; bw cn sp) strain	normal	GSE34343	GSM847577	None	21430782	input	GSE34343	GSM847578	None	7.86E-06	0.007302914	0	7.91E-05	5460	1.029743	-23.67321	0.699801	0.737037	4.324475
EXP045485	Su(z)12	Q9NJG9	None	None	None	Drosophila melanogaster	whole organism (development stage: wandering third instar larva)	None	normal	GSE33546	GSM829667; GSM829668	None	22354997	None	GSE33546	GSM829669; GSM829670	None	0.026100156	0.144710066	0	0.001288259	1728	1.021678	1.112881	0.709961	0.724693	3.694096
EXP045483	rb-?-Su(z)12 full length (J__rg M__ller)	Q9NJG9	None	None	None	Drosophila melanogaster	whole organism (development stage: wandering third instar larva)	eye-antenna imaginal disc; Jarid2 mutant	normal	GSE33546	GSM829687	None	22354997	None	GSE33546	GSM829688	None	0.001528416	0.062703411	4.34E-05	0.001234435	48	1.003276	0.4804637	0.863938	0.866774	7.517388
EXP045480	rb-?-Su(z)12 full length (J__rg M__ller)	Q9NJG9	None	None	None	Drosophila melanogaster	whole organism (development stage: wandering third instar larva)	Jarid2 mutant	normal	GSE33546	GSM829677	None	22354997	None	GSE33546	GSM829679	None	0.01716643	0.168605925	0.000293114	0.003822115	831	1.023052	1.22909	0.58828	0.564016	2.098674
EXP045470	gp anti-Yan	Q01842	POK_DROME	Ets DNA-binding protein pokkuri (Protein anterior open) (Protein yan)	aop pok Yan CG3166	Drosophila melanogaster	whole organism (developmental stage: embryonic stage 11)	None	normal	GSE34040	GSM840894	None	23172856	None	GSE34040	GSM840895	None	5.38E-05	0.000275788	1.61E-05	2.93E-05	5562	1.075376	1.357647	0.913067	0.912038	2164-11-01 0:00
EXP045447	Hsp90	M9PBL3	M9PBL3_DROME	"Heat shock protein 83, isoform B"	Hsp83 143198_at 4C 83 83K HSP anon-EST:Liang-2.53 anon-WO0068693 anon-WO0140519.209 clone 2.53 Dmel\\CG1242 DMHSP82 DmHsp83 E(sev)3A E(sina)2 en(lz)3C HSP82 Hsp82 hsp82 HSP83 hsp83 hsp84 HSP90 Hsp90 hsp90 HSP90A1 l(3)j5C2 ms(3)08445 ORF1 P02828 stc Su(Raf)3A CG1242 Dmel_CG1242	Drosophila melanogaster	S2-DRSC (embryonic stem cells)	None	normal	GSE31226	GSM774083; GSM774084	None	22579285	none (input)	GSE31226	GSM945898; GSM945899	None	0.104410093	0.250698127	0.001150509	0.010705328	5697	1.115768	1.207705	0.698532	0.715948	3.54799
EXP045416	guinea pig 1 anti-l(3)mbt 1244-1477aa (glycine elution)	Q9VB52	None	None	None	Drosophila melanogaster	whole organism (development stage: wandering third instar larva)	temperature: 25C; Canton S strain	normal	GSE29206	GSM722524	None	21857667	None	GSE29206	GSM722526	None	0.070291198	0.197571795	0.003477252	0.042638136	1008	1.068579	1.587814	0.68284	0.704368	3.40673
EXP045415	guinea pig 1 anti-l(3)mbt 1244-1477aa (glycine elution)	Q9VB52	None	None	None	Drosophila melanogaster	whole organism (development stage: wandering third instar larva)	temperature: 25C; w1118 strain	normal	GSE29206	GSM722523	None	21857667	None	GSE29206	GSM722525	None	0.000470543	0.000576006	3.34E-05	1.23E-05	1015	1.070957	2.140171	0.597371	0.610647	2.571719
EXP045406	Hr4_GFP	Q9W539	None	None	None	Drosophila melanogaster	0-12 h embryos	None	normal	GSE27110	GSM669545	None	21430782	None	GSE27110	GSM669546	None	0.006787994	0.042750088	1.35E-05	0	4642	1.030166	1.952501	0.67196	0.675757	3.080287
EXP045402	exd-GFP	P40427	EXD_DROME	Homeobox protein extradenticle (Dpbx)	exd CG8933	Drosophila melanogaster	16-24 h embryos	None	normal	GSE27108	GSM669541	None	21430782	input	GSE27108	GSM669542	None	0.001837297	0.000938127	0	1.60E-05	4610	1.065491	1.658499	0.769882	0.779733	4.631971
EXP045398	anti-cbt	Q4R0P9	Q4R0P9_DROME	Cabut	cbt CG4427	Drosophila melanogaster	16-24 h embryos	None	normal	GSE27106	GSM669537	None	21430782	input	GSE27106	GSM669538	None	0.01396453	0.037718922	0	0.000253079	4519	1.030425	1.952049	0.562461	0.597218	2.68569
EXP045390	anti-Su[var]3-9 ab4811	P45975	SUV39_DROME	Histone-lysine N-methyltransferase Su(var)3-9 (EC 2.1.1.43) (Histone H3-K9 methyltransferase) (H3-K9-HMTase) (Lysine N-methyltransferase 1) (Protein suppressor of variegation 3-9)	Su(var)3-9 KMT1 CG6476	Drosophila melanogaster	0-12 h embryos	None	normal	GSE25920	GSM636838	None	21430782	input	GSE25920	GSM636839	None	0.005477817	0.074362012	0	0.000130431	4573	1.046	2.204013	0.509117	0.511025	2.041812
EXP045388	KW3-Kr-D2	P07247	KRUP_DROME	Protein krueppel	Kr CG3340	Drosophila melanogaster	16-24 h embryos	None	normal	GSE25919	GSM636835	None	21430782	input	GSE25919	GSM636836; GSM636837	None	0.000621636	0.005674267	0	0.000307619	4750	1.009174	1.299896	0.547482	0.682616	4.52298
EXP045384	HP1-Abcam	P05205	HP1_DROME	Heterochromatin protein 1 (HP1) (Non-histone chromosomal protein C1A9 antigen)	Su(var)205 HP1 CG8409	Drosophila melanogaster	16-24 h embryos	None	normal	GSE25563	GSM628252	None	21430782	input	GSE25563	GSM628253	None	0.003398277	0.188998089	0.0057464	0.013996972	4052	1.018208	0.3455085	0.751144	0.78184	4.893753
EXP045378	NW-GFP-Goat[tll]	P18102	TLL_DROME	Protein tailless (Nuclear receptor subfamily 2 group E member 2)	tll NR2E2 CG1378	Drosophila melanogaster	0-4 h embryos	None	normal	GSE24136	GSM594213	None	21430782	None	GSE24136	GSM594214; GSM594215	None	0.001101707	0.003752483	0.000112941	0.004014151	4785	1.021291	1.34043	0.65555	0.658488	2.917086
EXP045369	Trx-C	P20659	TRX_DROME	Histone-lysine N-methyltransferase trithorax (EC 2.1.1.43) (Lysine N-methyltransferase 2A)	trx KMT2A CG8651	Drosophila melanogaster	S2-DRSC (embryonic stem cells)	None	normal	GSE24521	GSM604729; GSM604730	None	21177970	None	GSE24521	GSM604731; GSM604732	None	0.231027793	0.365299085	0.041518813	0	668	1.233474	1.480761	0.654082	0.719549	3.751666
EXP045371	Ph	P11346	KRAF1_DROME	Raf homolog serine/threonine-protein kinase phl (D-Raf) (dRAF-1) (EC 2.7.11.1) (Protein pole-hole)	phl ph CG2845	Drosophila melanogaster	S2-DRSC (embryonic stem cells)	None	normal	GSE24521	GSM604725; GSM604726	None	21177970	None	GSE24521	GSM604731; GSM604732	None	0.129035923	0.434645436	0.036197909	0	507	1.078735	1.410095	0.717281	0.794003	5.141363
EXP045372	Pc	P26017	PC_DROME	Polycomb group protein Pc (Protein polycomb)	Pc CG7618	Drosophila melanogaster	S2-DRSC (embryonic stem cells)	None	normal	GSE24521	GSM604723; GSM604724	None	21177970	None	GSE24521	GSM604731; GSM604732	None	0.00031037	0.000975334	9.33E-05	0.000532566	1678	1.08372	1.457878	0.762637	0.791631	5.043765
EXP045361	NW-GFP-Goat[eve]	P06602	EVE_DROME	Segmentation protein even-skipped	eve CG2328	Drosophila melanogaster	1-6 h embryos	None	normal	GSE24139	GSM594222	None	21430782	input	GSE24139	GSM594223; GSM594224	None	0.000239933	0.00637486	0	5.12E-06	4658	1.015116	1.187045	0.556959	0.526992	1.905474
EXP045342	anti-CBP	M9PH39	M9PH39_DROME	"Nejire, isoform E (EC 2.3.1.48)"	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster	whole organism (developmental stage: L3)	None	normal	GSE16013	GSM408992	None	None	None	GSE16013	GSM408993	None	0.001077967	0.041894148	0.00023132	0.002402269	1348	1.055896	5.0113	0.700239	0.683943	2.947941
EXP045340	anti-CBP	M9PH39	M9PH39_DROME	"Nejire, isoform E (EC 2.3.1.48)"	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster	whole organism (developmental stage: E4-8)	None	normal	GSE16013	GSM408988	None	None	None	GSE16013	GSM408989	None	0.000339142	0.008363755	0.033860684	0.00097438	256	1.068181	2.378435	0.636302	0.609407	2.327442
EXP045339	anti-CBP	M9PH39	M9PH39_DROME	"Nejire, isoform E (EC 2.3.1.48)"	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster	whole organism (developmental stage: E12-16)	None	normal	GSE16013	GSM408986	None	None	None	GSE16013	GSM408987	None	0.009198436	0.042364375	0.147689046	0.017576097	1715	1.095298	2.919175	0.67478	0.653935	2.66913
EXP045338	anti-CBP	M9PH39	M9PH39_DROME	"Nejire, isoform E (EC 2.3.1.48)"	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster	multi-cellular organism (development stage: adult)	Male	normal	GSE16013	GSM408984	None	None	None	GSE16013	GSM408985	None	0.101602354	0.357066419	0	0.092990997	4329	1.328015	2.281261	0.653137	0.633156	2.540625
EXP045337	anti-CBP	M9PH39	M9PH39_DROME	"Nejire, isoform E (EC 2.3.1.48)"	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster	multi-cellular organism (development stage: adult)	Female	normal	GSE16013	GSM408982	None	None	None	GSE16013	GSM408983	None	0.108979727	0.358577918	0.000521137	0.058977696	3468	1.421158	2.365624	0.602195	0.570935	2.106599
EXP044578	KW3-disco-D2	P23792	DISC_DROME	Protein disconnected	disco CG9908	Drosophila melanogaster	0-8 h embryos	None	normal	GSE23144	GSM570038	None	21430782	None	GSE23144	GSM570039	None	0.000330412	0.055765222	1.38E-05	9.19E-05	3700	1.038831	2.69551	0.682065	0.717047	3.776571
EXP044574	KW3-hkb-D1	Q9VN10	None	None	None	Drosophila melanogaster	8-16 h embryos	None	normal	GSE23123	GSM569793	None	21430782	input	GSE23123	GSM569794	None	8.81E-05	0	0	9.60E-06	4740	1.022887	2.422564	0.554316	0.594354	2.872231
EXP044572	Sin3A	A0A0B4K765	A0A0B4K765_DROME	"Sin3A, isoform G"	Sin3A CG8815 Dmel_CG8815	Drosophila melanogaster	0-12 h embryos	None	normal	GSE23122	GSM569791	None	21430782	input	GSE23122	GSM569792	None	0.062842568	0.165675484	0	0.00295296	4894	1.048298	1.537434	0.77395	0.775264	4.385908
EXP044568	anti-AGO2 mAb 9D6	Q9VUQ5	None	None	None	Drosophila melanogaster	S2 cells	None	normal	GSE22623	GSM561053	None	21852534	None	GSE22623	GSM561054	None	0.036160814	0.101216825	0.005701851	0.012518559	5500	1.090466	1.16395	0.947439	0.952718	22.558601
EXP044559	caudal	P09085	CAD_DROME	Homeotic protein caudal	cad CG1759	Drosophila melanogaster	whole organism (development stage: wandering third instar larva)	None	normal	GSE20000	GSM499661	None	21430782	input	GSE20000	GSM499662; GSM499663; GSM499664	None	1.16E-05	0	9.40E-07	0	4064	1.019642	2.088546	0.616282	0.656865	3.351994
EXP044557	goat anti GFP	P34021	ECR_DROME	Ecdysone receptor (20-hydroxy-ecdysone receptor) (20E receptor) (EcRH) (Ecdysteroid receptor) (Nuclear receptor subfamily 1 group H member 1)	EcR NR1H1 CG1765	Drosophila melanogaster	whole organism (development stage: prepupa)	White Pre-Pupae (30 to 33 hours) 	normal	GSE20000	GSM499653	None	21430782	input	GSE20000	GSM499654; GSM499655; GSM499656	None	0.007538802	0.04446965	1.38E-05	0.000665492	3828	1.028591	1.864466	0.519251	0.503342	1.930344
EXP044555	CTCF	Q9VS55	None	None	None	Drosophila melanogaster	S2 cells	None	normal	GSE20000	GSM499649	None	21430782	CTCF	GSE20000	GSM499650	None	0.212182695	0.32152382	0.157296512	0.169459872	1703	1.324054	2.422217	0.664345	0.745158	4.159404
EXP044554	goat anti GFP	P09085	CAD_DROME	Homeotic protein caudal	cad CG1759	Drosophila melanogaster	4-8 h embryos	None	normal	GSE20000	GSM499647	None	21430782	input	GSE20000	GSM499648	None	0.001407477	0.076333366	0	0.00055951	2974	1.050136	1.991408	0.660372	0.662731	2.958104
EXP044521	Wapl	Q9W517	None	None	None	Drosophila melanogaster	ML-DmBG3-c2 (immortalized CNS cell line)	iBrca2	normal	GSE109384	GSM2941907; GSM2941908	None	None	None	GSE109384	GSM2941913; GSM2941914; GSM2941915	None	0.041092345	0.227812093	0.015754834	0.083646013	5153	1.018612	0.4182588	0.886515	0.894084	10.070708
EXP044526	SA	O18415	O18415_DROME	Nuclear protein SA	SA CG3423	Drosophila melanogaster	ML-DmBG3-c2 (immortalized CNS cell line)	iBrca2	normal	GSE109384	GSM2941890; GSM2941891	None	None	None	GSE109384	GSM2941913; GSM2941914; GSM2941915	None	0.065332296	0.339918267	0	0.192713112	2594	1.068521	1.011987	0.845505	0.865703	8.53423
EXP044528	Pds5	A1Z8S6	A1Z8S6_DROME	"Pds5, isoform A (Pds5, isoform B) (RE40483p)"	pds5 pds5-RA CG17509 Dmel_CG17509	Drosophila melanogaster	ML-DmBG3-c2 (immortalized CNS cell line)	iWapl	normal	GSE109384	GSM2941878; GSM2941879; GSM2941880	None	None	None	GSE109384	GSM2941913; GSM2941914; GSM2941915	None	0.000102277	0.000881211	0	1.09E-05	2453	1.067613	1.00054	0.889549	0.901086	11.222874
EXP044531	Pds5	A1Z8S6	A1Z8S6_DROME	"Pds5, isoform A (Pds5, isoform B) (RE40483p)"	pds5 pds5-RA CG17509 Dmel_CG17509	Drosophila melanogaster	ML-DmBG3-c2 (immortalized CNS cell line)	iBrca2	normal	GSE109384	GSM2941870; GSM2941871	None	None	None	GSE109384	GSM2941913; GSM2941914; GSM2941915	None	0.026698793	0.145531505	0	0.028290562	5139	1.015161	0.42907	0.88001	0.888038	9.517976
EXP044532	Nipped-B	Q7PLI2	NIPB_DROME	Nipped-B protein (SCC2 homolog)	Nipped-B CG17704	Drosophila melanogaster	ML-DmBG3-c2 (immortalized CNS cell line)	iWapl	normal	GSE109384	GSM2941868; GSM2941869	None	None	None	GSE109384	GSM2941913; GSM2941914; GSM2941915	None	0.029882497	0.202612893	0	0.054342239	72	1.01809	0.4529035	0.904297	0.909675	11.68801
EXP044479	DPY-27	P48996	DPY27_CAEEL	Chromosome condensation protein dpy-27 (Protein dumpy-27)	dpy-27 R13G10.1	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	N2 strain	normal	GSE87741	GSM2339610	None	None	INPUT	GSE87741	GSM2339663	None	0.055671831	0.204270537	0.002669525	0.036506595	2969	1.024328	1.188674	0.834194	0.865107	7.68689
EXP044469	SDC-3	P34706	SDC3_CAEEL	Zinc finger protein sdc-3	sdc-3 C25D7.3	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	N2 strain	normal	GSE87741	GSM2339600	None	None	INPUT	GSE87741	GSM2339659	None	0.034399195	0.067099631	0.021445901	0.028063619	4439	1.039134	1.592661	0.801859	0.812804	5.252027
EXP044502	SDC-2	G5EBL3	SDC2_CAEEL	Sex determination and dosage compensation protein sdc-2	sdc-2 C35C5.1	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	N2 strain	normal	GSE87741	GSM2339596; GSM2339597; GSM2339598	None	None	INPUT	GSE87741	GSM2339659	None	0.041773282	0.073541837	0.005485744	0.032804914	3375	1.012808	1.335233	0.814757	0.853057	6.93425
EXP044494	DPY-27	P48996	DPY27_CAEEL	Chromosome condensation protein dpy-27 (Protein dumpy-27)	dpy-27 R13G10.1	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	ERC54 strain	normal	GSE87741	GSM2339632	None	None	INPUT	GSE87741	GSM2339651	None	0.017026808	0.119012422	0.001123145	0.0106272	3191	1.014074	1.260542	0.837867	0.84949	6.686143
EXP044493	SDC-3	P34706	SDC3_CAEEL	Zinc finger protein sdc-3	sdc-3 C25D7.3	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	ERC38 strain	normal	GSE87741	GSM2339631	None	None	INPUT	GSE87741	GSM2339650	None	0.024211111	0.06007591	0.010249565	0.01997513	4550	1.026055	1.416578	0.864047	0.88165	8.668733
EXP044492	SDC-3	P34706	SDC3_CAEEL	Zinc finger protein sdc-3	sdc-3 C25D7.3	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	ERC38 strain	normal	GSE87741	GSM2339630	None	None	INPUT	GSE87741	GSM2339649	None	0.008862872	0.02857054	0.002915254	0.007670856	2374	1.013303	0.9779995	0.882157	0.896519	9.854498
EXP044490	SDC-3	P34706	SDC3_CAEEL	Zinc finger protein sdc-3	sdc-3 C25D7.3	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	ERC38 strain	normal	GSE87741	GSM2339628	None	None	INPUT	GSE87741	GSM2339648	None	0.002234969	0.04097969	0.000525684	0.001341919	2764	1.008395	0.9482093	0.921951	0.931159	14.76693
EXP044484	SDC-2	G5EBL3	SDC2_CAEEL	Sex determination and dosage compensation protein sdc-2	sdc-2 C35C5.1	Caenorhabditis elegans	Whole worms (mixed-stage embryos)	TY1072 strain	normal	GSE87741	GSM2339622	None	None	INPUT	GSE87741	GSM2339643	None	0.001718751	0.020440642	7.10E-05	0.000143239	3048	1.007041	0.9322475	0.840692	0.846375	6.39762
