AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	LibraryLayout	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	dna_source	expression_system	gene_id	protein	protein_affinity_tag	protein_family	protein_source	replicate	subset	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study	source_name
100	SAMN04235890	sra	SRX1411989	SINGLE	2015-11-20	131	93	Arabidopsis thaliana	SRR2926079	SRS1147257	GSM1925009	colamp	tnt	AT3G18990	VRN1	Halo	ABI3VP1	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235891	sra	SRX1411990	SINGLE	2015-11-20	812	357	Arabidopsis thaliana	SRR2926080	SRS1147256	GSM1925010	col	tnt	AT3G18990	VRN1	Halo	ABI3VP1	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235892	sra	SRX1411991	SINGLE	2015-11-20	724	546	Arabidopsis thaliana	SRR2926081	SRS1147255	GSM1925011	colamp	tnt	AT5G64750	ABR1	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235893	sra	SRX1411992	SINGLE	2015-11-20	313	230	Arabidopsis thaliana	SRR2926082	SRS1147254	GSM1925012	col	tnt	AT5G64750	ABR1	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235894	sra	SRX1411993	SINGLE	2015-11-20	678	489	Arabidopsis thaliana	SRR2926083	SRS1147253	GSM1925013	colamp	tnt	AT5G65510	AIL7	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235895	sra	SRX1411994	SINGLE	2015-11-20	497	225	Arabidopsis thaliana	SRR2926084	SRS1147252	GSM1925014	col	tnt	AT5G65510	AIL7	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235896	sra	SRX1411995	SINGLE	2015-11-20	592	438	Arabidopsis thaliana	SRR2926085	SRS1147251	GSM1925015	colamp	tnt	AT1G01250	AT1G01250	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235897	sra	SRX1411996	SINGLE	2015-11-20	73	33	Arabidopsis thaliana	SRR2926086	SRS1147249	GSM1925016	col	tnt	AT1G01250	AT1G01250	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235898	sra	SRX1411997	SINGLE	2015-11-20	1066	781	Arabidopsis thaliana	SRR2926087	SRS1147247	GSM1925017	colamp	tnt	AT1G12630	AT1G12630	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235899	sra	SRX1411998	SINGLE	2015-11-20	348	166	Arabidopsis thaliana	SRR2926088	SRS1147250	GSM1925018	col	tnt	AT1G12630	AT1G12630	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235900	sra	SRX1411999	SINGLE	2015-11-20	992	724	Arabidopsis thaliana	SRR2926089	SRS1147246	GSM1925019	colamp	tnt	AT1G28160	AT1G28160	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235901	sra	SRX1412000	SINGLE	2015-11-20	145	65	Arabidopsis thaliana	SRR2926090	SRS1147245	GSM1925020	col	tnt	AT1G28160	AT1G28160	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235902	sra	SRX1412001	SINGLE	2015-11-20	285	128	Arabidopsis thaliana	SRR2926091	SRS1147244	GSM1925021	col	tnt	AT1G44830	AT1G44830	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235903	sra	SRX1412002	SINGLE	2015-11-20	969	710	Arabidopsis thaliana	SRR2926092	SRS1147248	GSM1925022	colamp	tnt	AT1G71450	AT1G71450	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04235904	sra	SRX1412003	SINGLE	2015-11-20	949	481	Arabidopsis thaliana	SRR2926093	SRS1147243	GSM1925023	col	tnt	AT1G71450	AT1G71450	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235905	sra	SRX1412004	SINGLE	2015-11-20	808	592	Arabidopsis thaliana	SRR2926094	SRS1147241	GSM1925024	colamp	tnt	AT1G77200	AT1G77200	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235906	sra	SRX1412005	SINGLE	2015-11-20	302	132	Arabidopsis thaliana	SRR2926095	SRS1147242	GSM1925025	col	tnt	AT1G77200	AT1G77200	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235907	sra	SRX1412006	SINGLE	2015-11-20	1001	724	Arabidopsis thaliana	SRR2926096	SRS1147240	GSM1925026	colamp	tnt	AT3G16280	AT3G16280	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235908	sra	SRX1412007	SINGLE	2015-11-20	737	343	Arabidopsis thaliana	SRR2926097	SRS1147239	GSM1925027	col	tnt	AT3G16280	AT3G16280	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236269	sra	SRX1412008	SINGLE	2015-11-20	560	268	Arabidopsis thaliana	SRR2926098	SRS1147237	GSM1925028	col	tnt	AT3G57600	AT3G57600	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236270	sra	SRX1412009	SINGLE	2015-11-20	1063	767	Arabidopsis thaliana	SRR2926099	SRS1147238	GSM1925029	colamp	tnt	AT3G60490	AT3G60490	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236271	sra	SRX1412010	SINGLE	2015-11-20	438	211	Arabidopsis thaliana	SRR2926100	SRS1147236	GSM1925030	col	tnt	AT3G60490	AT3G60490	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236272	sra	SRX1412011	SINGLE	2015-11-20	137	65	Arabidopsis thaliana	SRR2926101	SRS1147234	GSM1925031	col	tnt	AT4G18450	AT4G18450	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236273	sra	SRX1412012	SINGLE	2015-11-20	346	258	Arabidopsis thaliana	SRR2926102	SRS1147235	GSM1925032	colamp	tnt	AT1G19210	At1g19210	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236274	sra	SRX1412013	SINGLE	2015-11-20	787	417	Arabidopsis thaliana	SRR2926103	SRS1147233	GSM1925033	col	tnt	AT1G19210	At1g19210	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236275	sra	SRX1412014	SINGLE	2015-11-20	567	421	Arabidopsis thaliana	SRR2926104	SRS1147232	GSM1925034	colamp	tnt	AT1G22810	At1g22810	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236276	sra	SRX1412015	SINGLE	2015-11-20	481	358	Arabidopsis thaliana	SRR2926105	SRS1147231	GSM1925035	colamp	tnt	AT1G36060	At1g36060	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236277	sra	SRX1412016	SINGLE	2015-11-20	92	48	Arabidopsis thaliana	SRR2926106	SRS1147230	GSM1925036	col	tnt	AT1G36060	At1g36060	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236278	sra	SRX1412017	SINGLE	2015-11-20	775	576	Arabidopsis thaliana	SRR2926107	SRS1147227	GSM1925037	colamp	tnt	AT1G75490	At1g75490	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236279	sra	SRX1412018	SINGLE	2015-11-20	172	82	Arabidopsis thaliana	SRR2926108	SRS1147228	GSM1925038	col	tnt	AT1G75490	At1g75490	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236280	sra	SRX1412019	SINGLE	2015-11-20	940	436	Arabidopsis thaliana	SRR2926109	SRS1147229	GSM1925039	col	tnt	AT1G77640	At1g77640	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236281	sra	SRX1412020	SINGLE	2015-11-20	347	260	Arabidopsis thaliana	SRR2926110	SRS1147226	GSM1925040	colamp	tnt	AT2G33710	At2g33710	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236282	sra	SRX1412021	SINGLE	2015-11-20	640	474	Arabidopsis thaliana	SRR2926111	SRS1147224	GSM1925041	colamp	tnt	AT2G44940	At2g44940	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236283	sra	SRX1412022	SINGLE	2015-11-20	1532	795	Arabidopsis thaliana	SRR2926112	SRS1147225	GSM1925042	col	tnt	AT2G44940	At2g44940	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236284	sra	SRX1412023	SINGLE	2015-11-20	650	488	Arabidopsis thaliana	SRR2926113	SRS1147223	GSM1925043	colamp	tnt	AT4G16750	At4g16750	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236285	sra	SRX1412024	SINGLE	2015-11-20	571	276	Arabidopsis thaliana	SRR2926114	SRS1147222	GSM1925044	col	tnt	AT4G16750	At4g16750	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236286	sra	SRX1412025	SINGLE	2015-11-20	651	491	Arabidopsis thaliana	SRR2926115	SRS1147221	GSM1925045	colamp	tnt	AT4G28140	At4g28140	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236288	sra	SRX1412026	SINGLE	2015-11-20	120	70	Arabidopsis thaliana	SRR2926116	SRS1147220	GSM1925046	col	tnt	AT4G28140	At4g28140	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236289	sra	SRX1412027	SINGLE	2015-11-20	296	220	Arabidopsis thaliana	SRR2926117	SRS1147219	GSM1925047	colamp	tnt	AT4G31060	At4g31060	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236290	sra	SRX1412028	SINGLE	2015-11-20	749	389	Arabidopsis thaliana	SRR2926118	SRS1147218	GSM1925048	col	tnt	AT4G31060	At4g31060	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236291	sra	SRX1412029	SINGLE	2015-11-20	565	426	Arabidopsis thaliana	SRR2926119	SRS1147217	GSM1925049	colamp	tnt	AT4G32800	At4g32800	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236292	sra	SRX1412030	SINGLE	2015-11-20	225	105	Arabidopsis thaliana	SRR2926120	SRS1147216	GSM1925050	col	tnt	AT5G18450	At5g18450	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236293	sra	SRX1412031	SINGLE	2015-11-20	688	518	Arabidopsis thaliana	SRR2926121	SRS1147215	GSM1925051	colamp	tnt	AT5G65130	At5g65130	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236294	sra	SRX1412032	SINGLE	2015-11-20	447	209	Arabidopsis thaliana	SRR2926122	SRS1147214	GSM1925052	col	tnt	AT5G65130	At5g65130	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236295	sra	SRX1412033	SINGLE	2015-11-20	176	81	Arabidopsis thaliana	SRR2926123	SRS1147213	GSM1925053	col	tnt	AT5G67000	At5g67000	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236287	sra	SRX1412034	SINGLE	2015-11-20	329	246	Arabidopsis thaliana	SRR2926124	SRS1147212	GSM1925054	colamp	tnt	AT4G25490	CBF1	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236296	sra	SRX1412035	SINGLE	2015-11-20	747	364	Arabidopsis thaliana	SRR2926125	SRS1147211	GSM1925055	col	tnt	AT4G25490	CBF1	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236297	sra	SRX1412036	SINGLE	2015-11-20	1080	785	Arabidopsis thaliana	SRR2926126	SRS1147210	GSM1925056	colamp	tnt	AT4G25470	CBF2	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236298	sra	SRX1412037	SINGLE	2015-11-20	66	32	Arabidopsis thaliana	SRR2926127	SRS1147208	GSM1925057	col	tnt	AT4G25470	CBF2	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236329	sra	SRX1412038	SINGLE	2015-11-20	283	212	Arabidopsis thaliana	SRR2926128	SRS1147209	GSM1925058	colamp	tnt	AT4G25480	CBF3	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236330	sra	SRX1412039	SINGLE	2015-11-20	794	426	Arabidopsis thaliana	SRR2926129	SRS1147207	GSM1925059	col	tnt	AT4G25480	CBF3	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236331	sra	SRX1412040	SINGLE	2015-11-20	887	654	Arabidopsis thaliana	SRR2926130	SRS1147206	GSM1925060	colamp	tnt	AT5G51990	CBF4	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236332	sra	SRX1412041	SINGLE	2015-11-20	352	166	Arabidopsis thaliana	SRR2926131	SRS1147205	GSM1925061	col	tnt	AT5G51990	CBF4	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236333	sra	SRX1412042	SINGLE	2015-11-20	606	458	Arabidopsis thaliana	SRR2926132	SRS1147203	GSM1925062	colamp	tnt	AT3G50260	CEJ1	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236334	sra	SRX1412043	SINGLE	2015-11-20	317	191	Arabidopsis thaliana	SRR2926133	SRS1147202	GSM1925063	col	tnt	AT3G50260	CEJ1	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
133	SAMN04236335	sra	SRX1412044	SINGLE	2015-11-20	204	147	Arabidopsis thaliana	SRR2926134	SRS1147204	GSM1925064	col	tnt	AT1G68550	CRF10	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236336	sra	SRX1412045	SINGLE	2015-11-20	754	569	Arabidopsis thaliana	SRR2926135	SRS1147201	GSM1925065	colamp	tnt	AT1G68550	CRF10	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04236337	sra	SRX1412046	SINGLE	2015-11-20	586	422	Arabidopsis thaliana	SRR2926136	SRS1147200	GSM1925066	colamp	tnt	AT4G27950	CRF4	Halo	AP2EREBP	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04236338	sra	SRX1412047	SINGLE	2015-11-20	327	161	Arabidopsis thaliana	SRR2926137	SRS1147199	GSM1925067	col	tnt	AT4G27950	CRF4	Halo	AP2EREBP	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
