Alias	AvgSpotLen	BioSample	ENA_FIRST_PUBLIC	Experiment	INSDC_first_public	INSDC_last_update	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_accession	Sample_Name	Title	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	INSDC_center_name	INSDC_status	InsertSize	LibraryLayout	LibrarySource	Organism	Platform	SRA_Study
ESRRA_TGACGA30NGCA_AI_3	30	SAMEA1693072	2013-01-18	ERX168997	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ESRRA_TGACGA30NGCA_AI_3	2013-01-18	11	7	2013-01-18	ERR194308	ERS190988	ERS190988	SAMEA1693072 ERS190988	ESRRA_TGACGA30NGCA_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ESRRA_TGACGA30NGCA_AI_4	30	SAMEA1693062	2013-01-18	ERX168998	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ESRRA_TGACGA30NGCA_AI_4	2013-01-18	16	10	2013-01-18	ERR194309	ERS190989	ERS190989	SAMEA1693062 ERS190989	ESRRA_TGACGA30NGCA_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ESRRA_TGACGA30NGCA_AI_5	30	SAMEA1692639	2013-01-18	ERX168999	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ESRRA_TGACGA30NGCA_AI_5	2013-01-18	16	10	2013-01-18	ERR194310	ERS190990	ERS190990	SAMEA1692639 ERS190990	ESRRA_TGACGA30NGCA_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ESRRA_TGACGA30NGCA_AI_6	30	SAMEA1692645	2013-01-18	ERX169000	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ESRRA_TGACGA30NGCA_AI_6	2013-01-18	12	7	2013-01-18	ERR194311	ERS190991	ERS190991	SAMEA1692645 ERS190991	ESRRA_TGACGA30NGCA_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ETS1_TGTACC30NCAG_AI_1	30	SAMEA1692578	2013-01-18	ERX169001	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ETS1_TGTACC30NCAG_AI_1	2013-01-18	13	8	2013-01-18	ERR194312	ERS190992	ERS190992	SAMEA1692578 ERS190992	ETS1_TGTACC30NCAG_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ETS1_TGTACC30NCAG_AI_2	30	SAMEA1692602	2013-01-18	ERX169002	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ETS1_TGTACC30NCAG_AI_2	2013-01-18	10	6	2013-01-18	ERR194313	ERS190993	ERS190993	SAMEA1692602 ERS190993	ETS1_TGTACC30NCAG_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ETS1_TGTACC30NCAG_AI_3	30	SAMEA1692614	2013-01-18	ERX169003	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ETS1_TGTACC30NCAG_AI_3	2013-01-18	20	13	2013-01-18	ERR194314	ERS190994	ERS190994	SAMEA1692614 ERS190994	ETS1_TGTACC30NCAG_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ETS1_TGTACC30NCAG_AI_4	30	SAMEA1692559	2013-01-18	ERX169004	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ETS1_TGTACC30NCAG_AI_4	2013-01-18	21	13	2013-01-18	ERR194315	ERS190995	ERS190995	SAMEA1692559 ERS190995	ETS1_TGTACC30NCAG_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ETS1_TGTACC30NCAG_AI_5	30	SAMEA1692572	2013-01-18	ERX169005	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ETS1_TGTACC30NCAG_AI_5	2013-01-18	24	14	2013-01-18	ERR194316	ERS190996	ERS190996	SAMEA1692572 ERS190996	ETS1_TGTACC30NCAG_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ETS1_TGTACC30NCAG_AI_6	30	SAMEA1693186	2013-01-18	ERX169006	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ETS1_TGTACC30NCAG_AI_6	2013-01-18	17	10	2013-01-18	ERR194317	ERS190997	ERS190997	SAMEA1693186 ERS190997	ETS1_TGTACC30NCAG_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
FOXB1_TGAGCA30NCGA_AI_1	30	SAMEA1693205	2013-01-18	ERX169007	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	FOXB1_TGAGCA30NCGA_AI_1	2013-01-18	9	5	2013-01-18	ERR194318	ERS190998	ERS190998	SAMEA1693205 ERS190998	FOXB1_TGAGCA30NCGA_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
