tf	species	dataset
AR	Homo sapiens	GSE104399.AR.breast_tumor_Female_8;GSE104399.AR.breast_tumor_Male_10;GSE104399.AR.breast_tumor_Male_17;GSE104399.AR.breast_tumor_Male_18;GSE104399.AR.breast_tumor_Male_20;GSE104399.AR.breast_tumor_Male_26;GSE104399.AR.breast_tumor_Male_28;GSE104399.AR.breast_tumor_Male_30;GSE104399.AR.breast_tumor_Male_7;GSE104399.AR.breast_tumor_Male_8;ERP001226.AR.LNCaP;ERP003503.AR.LNCaP;ERP003503.AR.LNCaP_FOXA1;ERP001226.AR.MCF-7;GSE104399.AR.MCF-7;ERP001226.AR.MDA-MB-453;ERP003272.AR.MDA-MB-453_SHFOXA1;ERP003503.AR.MDA-MB-453;ERP003503.AR.MDA-MB-453_FOXA1;GSE109061.AR.epididymis_HEE;GSE109061.AR.epididymis_HEE_R1881;GSE40050.AR.22Rv1;GSE40050.AR.22Rv1_DHT;GSE80742.AR.22Rv1_R1881;GSE80742.AR.22Rv1_siARFL;GSE80742.AR.22Rv1_siARFL_R1881;GSE85558.AR.22Rv1;GSE85558.AR.22Rv1_Dox;GSE47987.AR.DU145;GSE47987.AR.DU145_ARC562S;GSE47987.AR.DU145_ARG56W;GSE47987.AR.DU145_ARQ6540X;GSE47987.AR.DU145_FOXA1;GSE47987.AR.DU145_FOXA1_ARC562S;GSE47987.AR.DU145_FOXA1_ARG56W;GSE47987.AR.DU145_FOXA1_ARQ6540X;GSE47987.AR.DU145_FOXA1_HIGH;GSE70679.AR.DUCAP;GSE70679.AR.DUCAP_ANDROGEN;GSE56288.AR.LHSAR_HOXB13;GSE56288.AR.LHSAR_LACZ;GSE110655.AR.LNCaP;GSE110655.AR.LNCaP_ERG;GSE30623.AR.LNCaP_1F5;GSE30623.AR.LNCaP_1F5_SIFOXA1;GSE31294.AR.LNCaP;GSE31294.AR.LNCaP_KDP53;GSE37345.AR.LNCaP_SHCTR_R1881;GSE37345.AR.LNCaP_SHCTR_R1881_HD;GSE37345.AR.LNCaP_SHFOXA1_R1881;GSE37345.AR.LNCaP_SHFOXA1_R1881_HD;GSE40050.AR.LNCaP_DHT;GSE43720.AR.LNCaP;GSE43720.AR.LNCaP_DHT;GSE47120.AR.LNCaP_SHCTR;GSE47120.AR.LNCaP_SHETV1;GSE52725.AR.LNCaP_SHCTR;GSE52725.AR.LNCaP_SHGATA2;GSE58428.AR.LNCaP_DHT24H;GSE58428.AR.LNCaP_DHT24H_SHFOXA1;GSE61268.AR.LNCaP_ETOH_SHCTR;GSE61268.AR.LNCaP_HOTAIR;GSE61268.AR.LNCaP_R1881;GSE61268.AR.LNCaP_R1881_HOTAIR;GSE61268.AR.LNCaP_R1881_SHCTR;GSE62492.AR.LNCaP;GSE62492.AR.LNCaP_R1881;GSE62492.AR.LNCaP_SHCTR_DHT;GSE62492.AR.LNCaP_SHFOXP1_DHT;GSE63202.AR.LNCaP;GSE64656.AR.LNCaP;GSE69043.AR.LNCaP_ETOH;GSE69043.AR.LNCaP_PHFRPMIFCS;GSE69043.AR.LNCaP_R1881;GSE69043.AR.LNCaP_RPMIFBS;GSE69043.AR.LNCaP_SHFOXA1_PHFRPMIFCS;GSE69043.AR.LNCaP_SHFOXA1_RPMIFBS;GSE69043.AR.LNCaP_SHGATA2_ETOH;GSE69043.AR.LNCaP_SHGATA2_R1881;GSE79357.AR.LNCaP;GSE79357.AR.LNCaP_NOV;GSE80256.AR.LNCaP;GSE83860.AR.LNCaP_DHT;GSE83860.AR.LNCaP_DHT_TNFA;GSE83860.AR.LNCaP_DMSO;GSE85558.AR.LNCaP;GSE85558.AR.LNCaP_HNF4G_ovexp;GSE86456.AR.LNCaP_3279;GSE86456.AR.LNCaP_DHT_100nM_3279;GSE86456.AR.LNCaP_DHT_100nM_N20;GSE86456.AR.LNCaP_N20;GSE89938.AR.LNCaP_Bag1L_KO_Bag1L_Rescue_DHT_4h;GSE89938.AR.LNCaP_Bag-1L_KO_DHT;GSE89938.AR.LNCaP_Bag-1L_KO_Veh;GSE89938.AR.LNCaP_Bag-1L_WT;GSE89938.AR.LNCaP_Bag-1L_WT_DHT;GSE89938.AR.LNCaP_DHT_Bag-1L-CMut;GSE89938.AR.LNCaP_Talen_DHT;GSE89938.AR.LNCaP_Talen_Veh;GSE92347.AR.LNCaP_DHT;GSE92347.AR.LNCaP_SRC_DHT;GSE56288.AR.PLHSAR_FOXA1_HOXB13;GSE56288.AR.prostate;GSE56288.AR.prostate_cancer;GSE61838.AR.prostate_DHT;GSE61838.AR.prostate_ETOH;GSE65478.AR.prostate;GSE90772.AR.prostate_cancer-associated-fibroblasts;GSE90772.AR.prostate_fetal-fibroblast;GSE110655.AR.VCaP_shCt;GSE110655.AR.VCaP_shERG;GSE28950.AR.VCaP;GSE28950.AR.VCaP_DHAT_18H;GSE28950.AR.VCaP_DHAT_2H;GSE32892.AR.VCaP;GSE32892.AR.VCaP_R1881;GSE32892.AR.VCaP_R1881_10C26;GSE32892.AR.VCaP_R1881_10C30;GSE32892.AR.VCaP_R1881_1C26;GSE32892.AR.VCaP_R1881_1C30;GSE56086.AR.VCaP;GSE56086.AR.VCaP_SHPIAS1_R1881;GSE58428.AR.VCaP_DHT24H;GSE58428.AR.VCaP_DHT24H_SHFOXA1;GSE58428.AR.VCaP_DHT24H_SHFOXP1;GSE58428.AR.VCaP_DHT24H_SHRUNX1;GSE58428.AR.VCaP_ETOH24H;GSE79128.AR.VCaP_DHT;GSE79128.AR.VCaP_R1881;GSE79128.AR.VCaP_SH1_DHT;GSE79128.AR.VCaP_SH1_R1881;GSE79128.AR.VCaP_SH2_DHT;GSE79128.AR.VCaP_SH2_R1881;GSE79128.AR.VCaP_SH3_DHT;GSE84432.AR.VCaP_R1881_30M;GSE84432.AR.VCaP_R1881_4H;GSE92347.AR.VCaP;GSE92347.AR.VCaP_DHT;GSE116189.AR.A-375;GSE116189.AR.A-375_SLNCR;GSE39459.AR.LNCaP-abl;GSE80238.AR.LNCaP-abl_DMSO;GSE48930.AR.MCF-7;GSE70161.AR.MDA-MB-453_R1881;GSE70161.AR.MDA-MB-453_R1881_SICTR;GSE70161.AR.MDA-MB-453_R1881_SIPIAS1;GSE54110.AR.PC-3;GSE54110.AR.PC-3_R1881;GSE40050.AR.LNCaP-C4-2B;GSE40050.AR.LNCaP-C4-2B_DHT;GSE61268.AR.LNCaP-C4-2B_ETOH_SHCTR;GSE61268.AR.LNCaP-C4-2B_R1881_SHCTR;GSE72714.AR.LNCaP-C4-2B;GSE72714.AR.LNCaP-C4-2B_SR2211;GSE74069.AR.MDA-MB-453;GSE74069.AR.MDA-MB-453_DHT;GSE74069.AR.MDA-MB-453_MPA;GSE86454.AR.NSC_DHT_10nM;GSE90772.AR.myofibroblast;GSE96652.AR.22Rv1;GSE94577.AR.LNCaP_DHT-1nM;GSE94682.AR.LNCaP;GSE94682.AR.LNCaP_r1881;GSE98809.AR.VCaP;GSE94577.AR.LTAD_DHT-1nM;GSE94577.AR.LTAD_EtOH;GSE94577.AR.LTAD_siCOBLL1;GSE94577.AR.LTAD_siControl;GSE94577.AR.VCaP-LTAD_DHT_10nM;GSE94577.AR.VCaP-LTAD_DHT_1nM;GSE97831.AR.LNCaP-C4-2
ARHGAP35	Homo sapiens	ENCSR571BUF.ARHGAP35.K-562
ARID1A	Homo sapiens	GSE104545.ARID1A.RMG-I;GSE69566.ARID1A.Hep-G2;GSE94682.ARID1A.LNCaP;GSE94682.ARID1A.LNCaP_r1881
ARID1B	Homo sapiens	ENCSR822CCM.ARID1B.K-562;GSE69566.ARID1B.Hep-G2
ARID2	Homo sapiens	GSE108025.ARID2.Aska-SS;GSE108025.ARID2.Aska-SS_shSSX;ENCSR491EBY.ARID2.K-562;GSE69566.ARID2.Hep-G2
ARID3A	Homo sapiens	ENCSR725LYT.ARID3A.GM12878;ENCSR778UBR.ARID3A.GM12878;ENCSR000EDP.ARID3A.Hep-G2;ENCSR000EFY.ARID3A.K-562;ENCSR231ENE.ARID3A.MCF-7;GSE97661.ARID3A.Hep-G2
ARID4B	Homo sapiens	ENCSR988LZG.ARID4B.Hep-G2
ARID5B	Homo sapiens	GSE97512.ARID5B.Jurkat
ARNT	Homo sapiens	ENCSR590KEQ.ARNT.GM12878;ENCSR760UKJ.ARNT.HEK293T;ENCSR029IBC.ARNT.Hep-G2;ENCSR155KHM.ARNT.K-562;ENCSR613NUC.ARNT.K-562;ENCSR669NFS.ARNT.K-562;GSE101063.ARNT.RCC10;GSE89836.ARNT.HUVEC-C;GSE41820.ARNT.MCF-7;GSE59935.ARNT.T-47D_HAEGIN2;GSE98012.ARNT.786-M1A
ARNTL	Homo sapiens	GSE44236.ARNTL.U2OS;GSE85096.ARNTL.U2OS_DMOG;GSE85096.ARNTL.U2OS_DMSO;GSE85096.ARNTL.U2OS_trough_DMOG;GSE85096.ARNTL.U2OS_trough_DMSO
ARRB1	Homo sapiens	GSE55615.ARRB1.prostate;GSE55615.ARRB1.LNCaP-C4-2
ASCL1	Homo sapiens	GSE69394.ASCL1.H128;GSE61197.ASCL1.SCLC_ASCLM;GSE61197.ASCL1.SCLC_ASCLP;GSE61197.ASCL1.SCLC_ASCLP_NE;GSE69394.ASCL1.NCI-H2107;GSE69394.ASCL1.NCI-H82;GSE69394.ASCL1.NCI-H889;GSE87618.ASCL1.G523NS_Dox
ASH1L	Homo sapiens	ENCSR115BBC.ASH1L.K-562
ASH2L	Homo sapiens	ENCSR849WCQ.ASH2L.GM12878;ENCSR508LMH.ASH2L.Hep-G2;ENCSR850KIP.ASH2L.WA01;GSE60841.ASH2L.VCaP;GSE60841.ASH2L.VCaP_R1881
ASXL1	Homo sapiens	GSE51673.ASXL1.HEK293T
ATF1	Homo sapiens	ENCSR253OON.ATF1.Hep-G2;ENCSR000DNZ.ATF1.K-562;ENCSR091GVJ.ATF1.K-562;ENCSR159OCC.ATF1.K-562
ATF2	Homo sapiens	ENCSR000BQK.ATF2.GM12878;ENCSR961PPA.ATF2.GM12878;ENCSR217HTK.ATF2.HEK293;ENCSR047BUZ.ATF2.Hep-G2;ENCSR869IUD.ATF2.K-562;ENCSR000BQU.ATF2.WA01;GSE80727.ATF2.macrophage
ATF3	Homo sapiens	ENCSR000BJY.ATF3.GM12878;ENCSR205FOW.ATF3.liver;ENCSR480LIS.ATF3.liver;ENCSR000BPS.ATF3.A-549;ENCSR000BKE.ATF3.Hep-G2;ENCSR000BNU.ATF3.K-562;ENCSR000DOG.ATF3.K-562;ENCSR028UIU.ATF3.K-562;ENCSR632DCH.ATF3.K-562;ENCSR000BKC.ATF3.WA01;ENCSR000BUG.ATF3.HCT-116;GSE87562.ATF3.GM00739;GSE87562.ATF3.GM00739_CSBwt_8h;GSE74355.ATF3.HCT-116_CAMP;GSE74355.ATF3.HCT-116_DMSO;GSE74355.ATF3.HCT-116_DMSO_KOATF3;GSE81403.ATF3.primary-dermal-fibroblasts_overexpressed
ATF4	Homo sapiens	ENCSR669LCD.ATF4.Hep-G2;ENCSR145TSJ.ATF4.K-562;GSE68864.ATF4.hMSC;GSE117240.ATF4.DLD-1_MYC-activated
ATF7	Homo sapiens	ENCSR014YCR.ATF7.GM12878;ENCSR545FXC.ATF7.Hep-G2;ENCSR972ZBV.ATF7.K-562;ENCSR866QPZ.ATF7.MCF-7
ATM	Homo sapiens	ENCSR859JGF.ATM.Hep-G2
ATRX	Homo sapiens	GSE22162.ATRX.erythroid;GSE70920.ATRX.LAN6_KOATRX;GSE70920.ATRX.K-562_KOATRX
BACH1	Homo sapiens	ENCSR585CVE.BACH1.GM12878;ENCSR636MKU.BACH1.GM12878;ENCSR043EHG.BACH1.A-549;ENCSR699TNT.BACH1.Hep-G2;ENCSR000EGD.BACH1.K-562;ENCSR740NPG.BACH1.K-562;ENCSR000EBQ.BACH1.WA01
BACH2	Homo sapiens	GSE102460.BACH2.B-cell_IL2;GSE102460.BACH2.B-cell_siBACH2;GSE69558.BACH2.DOHH2;GSE44420.BACH2.OCI-Ly7;GSE69558.BACH2.OCI-Ly7
BAF155	Homo sapiens	GSE110655.BAF155.LNCaP_ERG;GSE110655.BAF155.LNCaP;GSE110655.BAF155.LNCaP_ERG-R367K;GSE110655.BAF155.VCaP_shARID1A;GSE110655.BAF155.VCaP_shCt;GSE110655.BAF155.VCaP_shERG
BAHD1	Homo sapiens	GSE53372.BAHD1.HEK293
BAP1	Homo sapiens	GSE101987.BAP1.UM-RC-6;GSE101987.BAP1.UM-RC-6_BAP1-C91A-mutant;GSE101987.BAP1.UM-RC-6_empty-vector
BATF	Homo sapiens	GSE108600.BATF.CD4_T-cells_d1_anti-BATF;GSE108600.BATF_GFP.CD4_T-cells_d1_GFP-BATF_anti-GFP;GSE108600.BATF_GFP.CD4_T-cells_d2_GFP-BATF_anti-BATF;GSE108600.BATF_GFP.CD4_T-cells_d2_GFP-BATF_anti-GFP;ENCSR000BGT.BATF.GM12878;GSE56857.BATF.OCI-Ly10;GSE56857.BATF.OCI-Ly3;GSE97661.BATF.GM12878
BATF3	Homo sapiens	GSE97661.BATF3.GM12878;GSE94732.BATF3.KK-1_BirA;GSE94732.BATF3.ST-1_BirA
BCL11A	Homo sapiens	GSE104676.BCL11A.CD34_Day3_30min;GSE104676.BCL11A.CD34_Day3_60min;GSE104676.BCL11A.CD34_Day3_90min;GSE104676.BCL11A.CD34_Day5_30min;GSE104676.BCL11A.CD34_Day5_60min;GSE104676.BCL11A.CD34_Day5_90min;GSE104676.BCL11A.CD34_Day7_15min;GSE104676.BCL11A.CD34_Day7_30min;GSE104676.BCL11A.CD34_Day7_60min;GSE104676.BCL11A.CD34_Day7_90min;GSE104676.BCL11A.CD34_Day9_15min;GSE104676.BCL11A.CD34_Day9_30min;GSE104676.BCL11A.CD34_Day9_60min;GSE104676.BCL11A.CD34_Day9_90min;ENCSR000BHA.BCL11A.GM12878;ENCSR021DJC.BCL11A.HEK293;GSE103445.BCL11A.HUDEP-2_BCL11A-ER-V5;GSE104676.BCL11A.HUDEP-2_30min;GSE104676.BCL11A.HUDEP-2_60min;GSE104676.BCL11A.HUDEP-2_90min;GSE104676.BCL11A.HUDEP-2_BCL11A-KO;GSE104676.BCL11A.HUDEP-2_CRISPR_115edit_60min;ERP003925.BCL11A.MCF-10A;ERP003925.BCL11A.MDA-MB-157;ENCSR000BIP.BCL11A.WA01;ENCSR000BMJ.BCL11A.WA01;GSE99019.BCL11A.Raji;GSE99019.BCL11A.NALM-6
BCL11B	Homo sapiens	ENCSR770PQN.BCL11B.HEK293;GSE84677.BCL11B.thymus_CD34neg;GSE84677.BCL11B.thymus_CD34pos
BCL3	Homo sapiens	ENCSR000BNQ.BCL3.GM12878;ENCSR000BQH.BCL3.A-549
BCL6	Homo sapiens	ENCSR759BDG.BCL6.Hep-G2;GSE103125.BCL6.OCI-Ly1_FA;GSE103125.BCL6.OCI-Ly1_UV;GSE59933.BCL6.CD4;GSE29282.BCL6.OCI-Ly1;GSE44420.BCL6.OCI-Ly7;GSE43350.BCL6.B-cell_GERMINAL_CENTER;GSE68349.BCL6.B-cell_GERMINAL_CENTER
BCL6B	Homo sapiens	ENCSR673SGK.BCL6B.HEK293
BCLAF1	Homo sapiens	ENCSR000BJZ.BCLAF1.GM12878;ENCSR342THD.BCLAF1.GM12878;ENCSR000BKH.BCLAF1.K-562;ENCSR492LTS.BCLAF1.K-562;ENCSR792IYC.BCLAF1.K-562
BCOR	Homo sapiens	ENCSR808AKZ.BCOR.K-562;GSE104690.BCOR.WA01;GSE104690.BCOR.WA01_KDM2B_KO;GSE104690.BCOR.WA01_RNF2-R;GSE104690.BCOR.WA01_RNF2-R_Doxycyclin;GSE43350.BCOR.B-cell_GERMINAL_CENTER
BDP1	Homo sapiens	ENCSR000DOK.BDP1.K-562;ENCSR000DNX.BDP1.HeLa-S3;GSE47849.BDP1.IMR-90
BHLHE22	Homo sapiens	GSE43876.BHLHE22.CAL-1
BHLHE40	Homo sapiens	ENCSR000DZJ.BHLHE40.GM12878;ENCSR517QHU.BHLHE40.GM12878;ENCSR987MTA.BHLHE40.GM12878;ENCSR789GVU.BHLHE40.HEK293T;ENCSR000DYJ.BHLHE40.A-549;ENCSR000BID.BHLHE40.Hep-G2;ENCSR000EDT.BHLHE40.Hep-G2;ENCSR957KYB.BHLHE40.IMR-90;ENCSR000EGV.BHLHE40.K-562
BLC6	Homo sapiens	GSE103125.BLC6.OCI-Ly1_minusUV_control_ChIP
BMAL1	Homo sapiens	GSE69100.BMAL1.U2OS
BMI1	Homo sapiens	ENCSR469WII.BMI1.GM12878;ENCSR782WRO.BMI1.K-562;ENCSR966YYJ.BMI1.MCF-7;GSE34774.BMI1.HEK293T;GSE97831.BMI1.LNCaP-C4-2
BMPR1A	Homo sapiens	GSE60156.BMPR1A.HUVEC-C
BPTF	Homo sapiens	GSE64467.BPTF.T-47D-MTVL_BPTF
BRCA1	Homo sapiens	ENCSR000DZS.BRCA1.GM12878;ENCSR857KDI.BRCA1.A-549;ENCSR000EDY.BRCA1.Hep-G2;ENCSR223MLH.BRCA1.K-562;ENCSR000EBX.BRCA1.WA01;ENCSR000EDB.BRCA1.HeLa-S3;GSE87324.BRCA1.U2OS;GSE40591.BRCA1.MCF-10A;GSE87324.BRCA1.TC-32
BRD1	Homo sapiens	GSE104059.BRD1.HUES-64;GSE47190.BRD1.RKO
BRD2	Homo sapiens	GSE104481.BRD2.NCI-H23;GSE39579.BRD2.HEK293T;GSE60171.BRD2.HUVEC-C;GSE60171.BRD2.HUVEC-C_MS417;GSE113714.BRD2.NCI-H23;GSE94488.BRD2.SK-MEL-147;GSE94488.BRD2.SK-MEL-147_JQ1;GSE43743.BRD2.MM1-S;GSE94488.BRD2.foreskin_NHM1-5
BRD3	Homo sapiens	GSE39579.BRD3.HEK293T;GSE119863.BRD3.A-549;GSE60171.BRD3.HUVEC-C;GSE60171.BRD3.HUVEC-C_MS417;GSE43743.BRD3.MM1-S;GSE99171.BRD3.U-87MG_GBM;GSE99171.BRD3.U-87MG_GBM_dBET6_1d;GSE99171.BRD3.U-87MG_GBM_dBET6_2h
BRD4	Homo sapiens	ERP010664.BRD4.BT-474;ERP010664.BRD4.BT-474_INHHDAC;GSE103395.BRD4.BCBL-1_TREx-F3H3-K-Rt;ENCSR514EOE.BRD4.Hep-G2;ENCSR583ACG.BRD4.K-562;ERP003925.BRD4.MCF-10A;ERP003925.BRD4.MDA-MB-157;ERP003925.BRD4.MDA-MB-231;GSE101821.BRD4.NCI-H2171;ERP003925.BRD4.T-47D;GSE101821.BRD4.MV4-11-B_BI00894999_100nM_4h;GSE101821.BRD4.MV4-11-B_BI00894999_1nM_4h;GSE101821.BRD4.MV4-11-B_BI00894999_35nM_4h;GSE101821.BRD4.MV4-11-B_DMSO;GSE103449.BRD4.LNAR_Enz;GSE103449.BRD4.LREX;GSE104745.BRD4.OCI-AML3;GSE104745.BRD4.OCI-AML3_JQ1_500nM_24h;GSE80151.BRD4.BE2C;GSE33281.BRD4.CD4;GSE33281.BRD4.CD4_JG1;GSE62482.BRD4.CD4_TH1_BAY;GSE62482.BRD4.CD4_TH1_DMSO;GSE54379.BRD4.DND41;GSE54379.BRD4.DND41_E;GSE63581.BRD4.HCC1395;GSE63581.BRD4.HCC1395_JQ1;GSE73319.BRD4.HCT15;GSE39579.BRD4.HEK293T;GSE50491.BRD4.HEK293T;GSE51633.BRD4.HEK293T;GSE51633.BRD4.HeLa;GSE33281.BRD4.hESC;GSE82295.BRD4.HFOB_DIFF;GSE73319.BRD4.HT29;GSE83777.BRD4.Jurkat;GSE54379.BRD4.KOPTK1;GSE54379.BRD4.KOPTK1_E;GSE71909.BRD4.LP1;GSE71909.BRD4.LP1_CPI203;GSE71909.BRD4.LP1_SGCCBP300;GSE62499.BRD4.MPNST_DMSO;GSE62499.BRD4.MPNST_PDJQ;GSE83671.BRD4.SEM;GSE64233.BRD4.SGBS;GSE64233.BRD4.SGBS_TNF;GSE63581.BRD4.SUM1315_DMSO;GSE63581.BRD4.SUM149_DMSO;GSE63581.BRD4.SUM159;GSE63581.BRD4.SUM159_RES;GSE63581.BRD4.SUM185_DMSO;GSE110473.BRD4.SW480;GSE110473.BRD4.SW480_16h_TNF-a;GSE73319.BRD4.SW480;GSE87418.BRD4.HCC1806_100nMtrametinib_24h;GSE87418.BRD4.HCC1806_100nMtrametinib300nMJQ1_24h;GSE87418.BRD4.HCC1806_300nMJQ1_24h;GSE87418.BRD4.HCC1806_DMSO_24h;GSE53998.BRD4.HUVEC-C;GSE53998.BRD4.HUVEC-C_TNF;GSE53998.BRD4.HUVEC-C_TNF_JQ1;GSE60171.BRD4.HUVEC-C;GSE60171.BRD4.HUVEC-C_MS417;GSE93030.BRD4.HUVEC-C_modETS1;GSE93030.BRD4.HUVEC-C_modGFP;GSE74238.BRD4.IMR-90_PROLIF;GSE74238.BRD4.IMR-90_QUIES;GSE74238.BRD4.IMR-90_SENES;GSE72931.BRD4.MCF-10A;GSE55921.BRD4.MCF-7;GSE55921.BRD4.MCF-7_E2;GSE63581.BRD4.MDA-MB-436_DMSO;GSE65138.BRD4.MOLM-14_CA25;GSE65138.BRD4.MOLM-14_DMSO;GSE65138.BRD4.MOLM-14_IBET;GSE79288.BRD4.MOLT-4_DMSO;GSE84213.BRD4.Mutu-1_JQ1;GSE84213.BRD4.Mutu-1_vehicle;GSE71776.BRD4.MV4-11_DMSO;GSE71776.BRD4.MV4-11_IBET;GSE71776.BRD4.MV4-11_IBET_SGC;GSE71776.BRD4.MV4-11_SGC;GSE42355.BRD4.NCI-H2171;GSE49224.BRD4.NCI-H2171_DMSO;GSE49224.BRD4.NCI-H2171_JQ1;GSE53601.BRD4.OCI-Ly1_DMSO;GSE53601.BRD4.OCI-Ly1_JQ1;GSE77568.BRD4.OVCAR-3_DMSO;GSE77568.BRD4.OVCAR-3_JQ1;GSE42262.BRD4.P493-6_MYC_0H;GSE42262.BRD4.P493-6_MYC_1H;GSE42262.BRD4.P493-6_MYC_24H;GSE83726.BRD4.RH4;GSE87418.BRD4.SUM159PT_100nMtrametinib_1h;GSE87418.BRD4.SUM159PT_100nMtrametinib1uMSGCCBP30_24h;GSE87418.BRD4.SUM159PT_100nMtrametinib_24h;GSE87418.BRD4.SUM159PT_100nMtrametinib300nMJIB04_24h;GSE87418.BRD4.SUM159PT_100nMtrametinib300nMJQ1_24h;GSE87418.BRD4.SUM159PT_100nMtrametinib30nMbortezomib_8h;GSE87418.BRD4.SUM159PT_100nMtrametinib_48h;GSE87418.BRD4.SUM159PT_100nMtrametinib_4h;GSE87418.BRD4.SUM159PT_100nMtrametinib_72h;GSE87418.BRD4.SUM159PT_100nMtrametinib_8h;GSE87418.BRD4.SUM159PT_300nMJQ1_24h;GSE87418.BRD4.SUM159PT_30nMbortezomib_8h;GSE87418.BRD4.SUM159PT_DMSO_24h;GSE87418.BRD4.SUM159PT_DMSO_48h;GSE87418.BRD4.SUM159PT_DMSO_72h;GSE87418.BRD4.SUM159PT_DMSO_8h;GSE87418.BRD4.SUM159PT_Dox_48h;GSE87418.BRD4.SUM159PT_shMYC_BRD4_100nMtrametinib_48h;GSE87418.BRD4.SUM159PT_shMYC_DMSO_48h;GSE87418.BRD4.SUM159PT_shMYC_dox_48h;GSE87418.BRD4.SUM229PE_neg_30nMtrametinib_24h;GSE87418.BRD4.SUM229PE_neg_DMSO_24h;GSE87418.BRD4.SUM229PE_pos_30nMtrametinib_24h;GSE87418.BRD4.SUM229PE_pos_DMSO_24h;GSE63581.BRD4.T-47D_DMSO;GSE109411.BRD4.CLL_patient1;GSE109411.BRD4.CLL_patient1_4h_CpG;GSE109411.BRD4.CLL_patient1_4h_CpG_BET;GSE109411.BRD4.CLL_patient2;GSE109411.BRD4.CLL_patient2_4h_CpG;GSE109411.BRD4.CLL_patient2_4h_CpG_BET;GSE109411.BRD4.CLL_patient3;GSE109411.BRD4.CLL_patient3_4h_CpG;GSE109411.BRD4.CLL_patient3_4h_CpG_BET;GSE109411.BRD4.CLL_patient4;GSE109411.BRD4.CLL_patient4_4h_CpG;GSE109411.BRD4.CLL_patient4_4h_CpG_BET;GSE42161.BRD4.MM1-S_DMSO;GSE42161.BRD4.MM1-S_JQ1;GSE42355.BRD4.MM1-S_JQ1_500NM;GSE42355.BRD4.MM1-S_JQ1_50NM;GSE42355.BRD4.MM1-S_JQ1_5NM;GSE42355.BRD4.MM1-S_JQ1_5UM;GSE42355.BRD4.U-87MG;GSE43743.BRD4.MM1-S;GSE45984.BRD4.MM1-S;GSE49224.BRD4.MM1-S_JQ1_150NM;GSE49224.BRD4.U-87MG_DMSO;GSE49224.BRD4.U-87MG_JQ1;GSE57628.BRD4.HCT-116;GSE57628.BRD4.HCT-116_JQ1;GSE73319.BRD4.COLO-205;GSE73319.BRD4.COLO-320;GSE73319.BRD4.COLO-741;GSE73319.BRD4.HCT-116;GSE76147.BRD4.GEN2-2;GSE80151.BRD4.SK-N-BE2-C;GSE83725.BRD4.Hs-352-Sk;GSE83725.BRD4.Hs-352-Sk_PAX3-FOXO1-vector;GSE86981.BRD4.retina_AB1-FW13;GSE86981.BRD4.retina_AB1-FW15;GSE86981.BRD4.retina_AB1-FW20;GSE86981.BRD4.retina_AB1-FW23;GSE86981.BRD4.retina_AB1-RB;GSE88871.BRD4.LNCaP-C4-2_EV;GSE88871.BRD4.LNCaP-C4-2_EV_JQ1;GSE88871.BRD4.LNCaP-C4-2_F133V;GSE88871.BRD4.LNCaP-C4-2_F133V_JQ1;GSE88871.BRD4.LNCaP-C4-2_OE;GSE95585.BRD4.CHL-1;GSE95585.BRD4.CHL-1_BAY123897;GSE95585.BRD4.CHL-1_OTX015;GSE99402.BRD4.GM15850_DMSO;GSE99402.BRD4.GM15850_PA1_JQ1;GSE99402.BRD4.GM15850_Syn-TEF1;GSE99178.BRD4.K-562_DMSO;GSE99178.BRD4.K-562_JQ1_2h;GSE99178.BRD4.K-562_JQ1_6h;GSE94732.BRD4.KK-1_DMSO;GSE94732.BRD4.KK-1_JQ1;GSE96775.BRD4.NMC24335
BRD9	Homo sapiens	ENCSR177XCS.BRD9.K-562
