ABI4_ARATH	ABI4_ARATH
RAP22_ARATH	RAP22_ARATH
RAP22_ARATH	RA212_ARATH
RAP22_ARATH	EF112_ARATH
DRE2D_ARATH	DRE2D_ARATH
RAP23_ARATH	RAP23_ARATH
DRE2E_ARATH	DRE2E_ARATH
RAP24_ARATH	RAP24_ARATH
RAP24_ARATH	ERF55_ARATH
RAP24_ARATH	ERF57_ARATH
RAP24_ARATH	ERF60_ARATH
RAP24_ARATH	ERF56_ARATH
RAP24_ARATH	RA213_ARATH
DRE2F_ARATH	DRE2F_ARATH
ERF53_ARATH	ERF53_ARATH
ERF53_ARATH	ERF54_ARATH
EF115_ARATH	EF115_ARATH
EF115_ARATH	EF114_ARATH
EF115_ARATH	EF113_ARATH
RAP26_ARATH	RAP26_ARATH
DRE2G_ARATH	DRE2G_ARATH
EF117_ARATH	EF117_ARATH
