Q9ZPZ8_ARATH	Q9ZPZ8_ARATH
RVE1_ARATH	RVE1_ARATH
RVE1_ARATH	RVE2_ARATH
Q9LHS5_ARATH	Q9LHS5_ARATH
MB101_ARATH	MB101_ARATH
TT2_ARATH	TT2_ARATH
Q9SZC2_ARATH	Q9SZC2_ARATH
GTL2_ARATH	GTL2_ARATH
GL1_ARATH	GL1_ARATH
GL1_ARATH	MYB23_ARATH
GL1_ARATH	WER_ARATH
MYB26_ARATH	MYB26_ARATH
MYB26_ARATH	Q9LTW2_ARATH
MYB26_ARATH	MYB57_ARATH
Q9SG63_ARATH	Q9SG63_ARATH
Q9SG63_ARATH	Q9M9U2_ARATH
Q9FIL9_ARATH	Q9FIL9_ARATH
GLK1_ARATH	GLK1_ARATH
GLK1_ARATH	GLK2_ARATH
MYB56_ARATH	MYB56_ARATH
MYB90_ARATH	MYB90_ARATH
MYB90_ARATH	MY113_ARATH
MYB90_ARATH	MY114_ARATH
MYB90_ARATH	MYB75_ARATH
F4HQJ2_ARATH	F4HQJ2_ARATH
M5162_ARATH	M5162_ARATH
MY105_ARATH	MY105_ARATH
MY105_ARATH	MYB52_ARATH
MY105_ARATH	MYB54_ARATH
MY105_ARATH	F4J1R5_ARATH
MY105_ARATH	Q9SPG4_ARATH
MYB28_ARATH	MYB28_ARATH
MYB28_ARATH	MYB76_ARATH
MYB28_ARATH	MYB29_ARATH
MYB92_ARATH	MYB92_ARATH
MYB92_ARATH	MYB15_ARATH
Q9SRB0_ARATH	Q9SRB0_ARATH
Q9SRB0_ARATH	MYB46_ARATH
GSTT3_ARATH	GSTT3_ARATH
MY106_ARATH	MY106_ARATH
MY106_ARATH	MYB16_ARATH
MYB93_ARATH	MYB93_ARATH
MYB93_ARATH	MY102_ARATH
MYB93_ARATH	MYB74_ARATH
MYB93_ARATH	Q9SPG6_ARATH
RVE6_ARATH	RVE6_ARATH
RVE6_ARATH	RVE5_ARATH
RVE6_ARATH	RVE8_ARATH
RVE6_ARATH	RVE4_ARATH
RVE6_ARATH	RVE3_ARATH
TGT3B_ARATH	TGT3B_ARATH
RVE7_ARATH	RVE7_ARATH
RVE7_ARATH	RVE7L_ARATH
TRB4_ARATH	TRB4_ARATH
TRB4_ARATH	TRB5_ARATH
Q8VY11_ARATH	Q8VY11_ARATH
MY108_ARATH	MY108_ARATH
MY108_ARATH	Q94CJ3_ARATH
MY108_ARATH	MYB78_ARATH
MY108_ARATH	Q39028_ARATH
MY108_ARATH	MYB21_ARATH
MYB96_ARATH	MYB96_ARATH
MYB96_ARATH	MYB94_ARATH
MYB96_ARATH	Q9CA52_ARATH
MYB96_ARATH	MYB30_ARATH
Q9LMD1_ARATH	Q9LMD1_ARATH
HHO1_ARATH	HHO1_ARATH
HHO1_ARATH	HHO2_ARATH
HHO1_ARATH	HHO3_ARATH
HHO1_ARATH	HRS1_ARATH
Q9LMC7_ARATH	Q9LMC7_ARATH
Q9LMC7_ARATH	C0Z2P1_ARATH
Q9LMC7_ARATH	O04544_ARATH
MYB61_ARATH	MYB61_ARATH
MYB61_ARATH	Q9C695_ARATH
MYB61_ARATH	MYB86_ARATH
MYB61_ARATH	B3H664_ARATH
MYB98_ARATH	MYB98_ARATH
F4IB54_ARATH	F4IB54_ARATH
MYB62_ARATH	MYB62_ARATH
MYB62_ARATH	Q94FU0_ARATH
SWC4_ARATH	SWC4_ARATH
Q9M9A3_ARATH	Q9M9A3_ARATH
Q9M9A3_ARATH	Q9LZ21_ARATH
HHO5_ARATH	HHO5_ARATH
Q9M2Q0_ARATH	Q9M2Q0_ARATH
Q9M2Q0_ARATH	O48523_ARATH
Q8GZ96_ARATH	Q8GZ96_ARATH
Q8GZ96_ARATH	F4I129_ARATH
HHO6_ARATH	HHO6_ARATH
MYB35_ARATH	MYB35_ARATH
MYB64_ARATH	MYB64_ARATH
PHLA_ARATH	PHLA_ARATH
PHLA_ARATH	PHL9_ARATH
PHLA_ARATH	APL_ARATH
MYB36_ARATH	MYB36_ARATH
MYB65_ARATH	MYB65_ARATH
MYB65_ARATH	MYB33_ARATH
Q9SMT1_ARATH	Q9SMT1_ARATH
CDC5L_ARATH	CDC5L_ARATH
KAN1_ARATH	KAN1_ARATH
MYB39_ARATH	MYB39_ARATH
MYB39_ARATH	MYB53_ARATH
MYB39_ARATH	F4KE69_ARATH
MYB39_ARATH	Q9LDI5_ARATH
MYB39_ARATH	MYB60_ARATH
Q9SG82_ARATH	Q9SG82_ARATH
Q9SG82_ARATH	Q9FF65_ARATH
Q9SG82_ARATH	MYBC1_ARATH
Q9SG82_ARATH	PCL1_ARATH
Q9SG82_ARATH	PCLL_ARATH
Q7X887_ARATH	Q7X887_ARATH
Q7X887_ARATH	MYBF_ARATH
KAN2_ARATH	KAN2_ARATH
KAN2_ARATH	KAN3_ARATH
MY117_ARATH	MY117_ARATH
PHLB_ARATH	PHLB_ARATH
F4IT71_ARATH	F4IT71_ARATH
F4IT71_ARATH	Q9LMG9_ARATH
DUO1_ARATH	DUO1_ARATH
MY118_ARATH	MY118_ARATH
MY118_ARATH	MY115_ARATH
MB3R2_ARATH	MB3R2_ARATH
